# go test -tags=BenchmarkInitial -test.timeout=16h40m0s -numRows=100000,200000,400000,800000,1600000,2000000,3000000,5000000 -updatable=false -pirType=Punc
   numRows OfflineServerTime[us] OfflineClientTime[us]   OfflineBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
    100000               2893826               2380788         918128        6000032                   118                  1577           1714
    200000               4818225               5116983        1298552        8690000                   181                  2322           1716
    400000              13704063               9369845        1835792       12744688                   233                  3137           1750
    800000              19077099              14891216        2596641       18956784                   291                  5077           1751
   1600000              48074165              38422164        3674025       28694160                   504                  8791           1785
   2000000              54106095              44868255        4106721       32914000                   646                 11268           1785
   2000000              18466805               5785784        4106721       20151152                   277                  2973           1432   
   3000000              75040514              54896927        5030193       42502960                   577                 11218           1785
   5000000             155526592             124013771        6493809       59380816                   951                 34167           1819
ok  	github.com/dimakogan/boosted-pir	709.196s
# go test -tags=BenchmarkInitial -test.timeout=16h40m0s -numRows=100000,200000,400000,800000,1600000,2000000,3000000,5000000 -updatable=false -pirType=Punc
   numRows OfflineServerTime[us] OfflineClientTime[us]   OfflineBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
    100000                165618                125125         9181284611686018427386880                    22                   172           1365
    200000                475204                289194        1298552             48                    32                   311           1367
    400000               1137404                665644        1835792        6063296                    40                   417           1400
    800000               1694348               1105479        2596641        9938112                    53                   726           1400
   1600000               4488825               3800154        3674025       16901312                    76                  1295           1432
   2000000               6031887               5369791        4106721       20145344                    90                  2417           1432
   3000000              10524632               9369818        5030193       27927776                   101                  2537           1432
   5000000              21445312              18870190        6493809       42902752                   154                  3502           1464
ok  	github.com/dimakogan/boosted-pir	112.038s
