# benchmark_incremental -numRows=400000,800000,1600000,2000000,3000000,5000000,7000000 -pirType=DPF -numRowsPerBlock=1
   numRows  UpdateServerTime[us]  UpdateClientTime[us] UpdateBytesPerChange ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
    400000                  1090                190718              5            0                 34271                   662           1476
    800000                  2646                137058              5            0                 34008                   180           1513
   1600000                   871                181239              5            0                 65235                   168           1549
   2000000                   874                233903              5            0                 87158                   171           1558
   3000000                  1069                264902              5            0                116574                   154           1581
   5000000                   863                316681              5            0                191421                   162           1607
   7000000                   904                519835              5            0                257168                   160           1625
# NumLayerActivations: map[0:205]
# NumLayerHintBytes: map[0:0]
# benchmark_incremental -numRows=3000000 -pirType=DPF -updateSize=32000,16000,8000
   numRows  updateSize  UpdateServerTime[us]  UpdateClientTime[us]  UpdateBytesPerChange    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
   3000000       32000                   187                122793                     5              0                102331                   202           1565
   3000000       16000                  6329                132806                     5              0                102103                   192           1565
   3000000        8000                   166                126340                     5              0                103542                   191           1565
# benchmark_incremental -numRows=3000000 -pirType=DPF -updateSize=4000,2000,1000,500
   numRows  updateSize  UpdateServerTime[us]  UpdateClientTime[us]  UpdateBytesPerChange    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
   3000000        4000                    42                137495                     5              0                100844                   205           1565
   3000000        2000                    30                132149                     5              0                101834                   201           1565
   3000000        1000                    24                132976                     5              0                103170                   207           1565
   3000000         500                    22                132490                     6              0                102956                   205           1565
