Time,Latency
1614143314,78
1614143315,82
1614143315,80
1614143315,79
1614143315,87
1614143315,79
1614143315,87
1614143315,85
1614143315,86
1614143315,79
1614143315,81
1614143315,80
1614143315,81
1614143316,81
1614143316,91
1614143316,79
1614143316,82
1614143316,77
1614143316,80
1614143316,84
1614143316,84
1614143316,85
1614143316,84
1614143316,84
1614143316,83
1614143317,78
1614143317,94
1614143317,88
1614143317,84
1614143317,97
1614143317,92
1614143317,91
1614143317,82
1614143317,86
1614143317,87
1614143317,92
1614143318,91
1614143318,84
1614143318,80
1614143318,80
1614143318,93
1614143318,89
1614143318,93
1614143318,93
1614143318,94
1614143318,96
1614143318,86
1614143319,80
1614143319,93
1614143319,83
1614143319,80
1614143319,84
1614143319,84
1614143319,88
1614143319,87
1614143319,80
1614143319,94
1614143319,92
1614143319,85
1614143320,97
1614143320,92
1614143320,88
1614143320,95
1614143320,85
1614143320,88
1614143320,84
1614143320,85
1614143320,86
1614143320,84
1614143320,83
1614143321,87
1614143321,88
1614143321,90
1614143321,80
1614143321,92
1614143321,88
1614143321,82
1614143321,82
1614143321,90
1614143321,85
1614143321,97
1614143321,88
1614143322,89
1614143322,93
1614143322,87
1614143322,93
1614143322,87
1614143322,85
1614143322,93
1614143322,89
1614143322,93
1614143322,87
1614143322,83
1614143323,91
1614143323,89
1614143323,81
1614143323,79
1614143323,84
1614143323,85
1614143323,86
1614143323,87
1614143323,86
1614143323,87
1614143323,87
1614143324,115
1614143324,86
1614143324,90
1614143324,83
1614143324,85
1614143324,86
1614143324,87
1614143324,113
1614143324,94
1614143324,87
1614143324,91
1614143325,84
1614143325,87
1614143325,82
1614143325,105
1614143325,81
1614143325,80
1614143325,90
1614143325,84
1614143325,89
1614143325,89
1614143325,113
1614143326,85
1614143326,88
1614143326,87
1614143326,96
1614143326,89
1614143326,89
1614143326,86
1614143326,97
1614143326,97
1614143326,97
1614143326,96
1614143327,84
1614143327,95
1614143327,89
1614143327,90
1614143327,88
1614143327,91
1614143327,79
1614143327,90
1614143327,97
1614143327,88
1614143327,89
1614143328,91
1614143328,91
1614143328,87
1614143328,86
1614143328,97
1614143328,88
1614143328,90
1614143328,90
1614143328,92
1614143328,90
1614143328,91
1614143329,91
1614143329,92
1614143329,91
1614143329,90
1614143329,91
1614143329,88
1614143329,88
1614143329,95
1614143329,92
1614143329,92
1614143329,98
1614143330,94
1614143330,88
1614143330,96
1614143330,103
1614143330,93
1614143330,94
1614143330,87
1614143330,93
1614143330,88
1614143330,121
1614143330,90
1614143331,96
1614143331,91
1614143331,83
1614143331,91
1614143331,97
1614143331,84
1614143331,94
1614143331,105
1614143331,101
1614143331,87
1614143332,89
1614143332,87
1614143332,94
1614143332,89
1614143332,90
1614143332,81
1614143332,91
1614143332,96
1614143332,91
1614143332,88
1614143332,93
1614143333,96
1614143333,93
1614143333,87
1614143333,87
1614143333,91
1614143333,91
1614143333,90
1614143333,90
1614143333,94
1614143333,83
1614143333,91
1614143334,100
1614143334,82
1614143334,84
1614143334,88
1614143334,97
1614143334,90
1614143334,80
1614143334,92
1614143334,92
1614143334,93
1614143334,81
1614143334,93
1614143335,88
1614143335,100
1614143335,89
1614143335,97
1614143335,88
1614143335,80
1614143335,87
1614143335,90
1614143335,88
1614143335,85
1614143335,82
