Seconds,Workers,Queries,Latency,Errors
1614382758,5,10,101.60,0
1614382759,5,20,105.50,0
1614382760,5,25,104.80,0
1614382761,5,35,103.60,0
1614382762,5,45,107.20,0
1614382763,5,50,101.60,0
1614382764,5,60,105.40,0
1614382765,5,69,103.00,0
1614382766,5,75,101.80,0
1614382767,5,85,101.70,0
1614382768,5,94,103.22,0
1614382769,5,100,107.17,0
1614382770,5,110,103.90,0
1614382771,5,118,108.12,0
1614382772,5,125,104.71,0
1614382773,5,135,102.00,0
1614382774,5,141,99.83,0
1614382775,5,150,100.43,0
1614382776,5,160,103.60,0
1614382777,5,165,103.60,0
1614382778,5,175,104.00,0
1614382779,5,185,101.40,0
1614382780,5,190,101.60,0
1614382781,5,200,102.78,0
1614382782,5,210,101.50,0
1614382783,5,215,102.80,0
1614382784,5,225,104.78,0
1614382785,5,235,103.30,0
1614382786,5,240,102.00,0
1614382787,5,250,104.20,0
1614382788,5,260,105.70,0
1614382789,5,265,102.40,0
1614382790,5,275,112.90,0
1614382791,5,285,102.10,0
1614382792,5,290,101.20,0
1614382793,5,300,104.00,0
1614382794,5,310,101.40,0
1614382795,5,315,105.00,0
1614382796,5,325,102.00,0
1614382797,5,333,104.00,0
1614382798,5,340,100.40,0
1614382799,5,350,100.50,0
1614382800,5,357,102.14,0
1614382801,5,365,101.00,0
1614382802,5,375,100.90,0
1614382803,5,382,103.14,0
1614382804,5,390,112.40,0
1614382805,5,400,102.80,0
1614382806,5,407,104.00,0
1614382807,5,415,102.12,0
1614382808,5,425,104.40,0
1614382809,5,431,105.17,0
1614382810,5,440,104.00,0
1614382811,5,450,105.40,0
1614382812,5,455,110.00,0
1614382813,5,465,102.22,0
1614382814,5,475,100.80,0
1614382815,5,480,103.00,0
1614382816,5,490,101.67,0
1614382817,10,500,101.40,0
1614382818,10,515,102.40,0
1614382819,10,535,104.53,0
1614382820,10,550,104.60,0
1614382821,10,565,104.60,0
1614382822,10,585,103.90,0
1614382823,10,600,103.40,0
1614382824,10,615,104.13,0
1614382825,10,635,105.95,0
1614382826,10,649,101.50,0
1614382827,10,665,103.60,0
1614382828,10,685,105.40,0
1614382829,10,696,103.64,0
1614382830,10,715,104.33,0
1614382831,10,735,102.75,0
1614382832,10,746,102.73,0
1614382833,10,765,104.29,0
1614382834,10,783,104.89,0
1614382835,10,795,104.00,0
1614382836,10,815,105.00,0
1614382837,10,832,103.24,0
1614382838,10,845,100.36,0
1614382839,10,865,103.33,0
1614382840,10,882,105.65,0
1614382841,10,895,105.46,0
1614382842,10,915,102.55,0
1614382843,10,930,103.33,0
1614382844,10,945,102.15,0
1614382845,10,965,101.75,0
1614382846,10,980,103.67,0
1614382847,10,995,101.36,0
1614382848,10,1015,102.15,0
1614382849,10,1029,105.00,0
1614382850,10,1045,104.14,0
1614382851,10,1065,102.60,0
1614382852,10,1079,102.43,0
1614382853,10,1095,103.79,0
1614382854,10,1115,103.45,0
1614382855,10,1128,105.23,0
1614382856,10,1145,106.00,0
1614382857,10,1164,104.95,0
1614382858,10,1178,101.69,0
1614382859,10,1195,105.76,0
1614382860,10,1213,101.67,0
1614382861,10,1227,106.25,0
1614382862,10,1245,103.78,0
1614382863,10,1262,103.94,0
1614382864,10,1276,108.33,0
1614382865,10,1295,101.44,0
1614382866,10,1312,105.18,0
1614382867,10,1326,105.29,0
1614382868,10,1345,106.63,0
1614382869,10,1361,102.94,0
