Seconds,Latency
1614387445,80
1614387445,85
1614387445,85
1614387445,88
1614387445,87
1614387445,85
1614387445,81
1614387445,83
1614387445,80
1614387446,79
1614387446,84
1614387446,79
1614387446,77
1614387446,78
1614387446,78
1614387446,81
1614387446,79
1614387446,83
1614387446,88
1614387446,86
1614387446,82
1614387447,82
1614387447,82
1614387447,85
1614387447,92
1614387447,87
1614387447,85
1614387447,91
1614387447,88
1614387447,86
1614387447,86
1614387447,86
1614387448,93
1614387448,88
1614387448,83
1614387448,86
1614387448,94
1614387448,93
1614387448,86
1614387448,88
1614387448,84
1614387448,92
1614387448,89
1614387448,87
1614387449,90
1614387449,85
1614387449,87
1614387449,87
1614387449,89
1614387449,85
1614387449,94
1614387449,88
1614387449,82
1614387449,94
1614387449,87
1614387450,88
1614387450,88
1614387450,90
1614387450,90
1614387450,99
1614387450,83
1614387450,86
1614387450,87
1614387450,89
1614387450,84
1614387450,80
1614387451,81
1614387451,88
1614387451,86
1614387451,86
1614387451,84
1614387451,92
1614387451,91
1614387451,88
1614387451,96
1614387451,81
1614387451,91
1614387451,93
1614387452,85
1614387452,85
1614387452,88
1614387452,94
1614387452,87
1614387452,81
1614387452,89
1614387452,88
1614387452,94
1614387452,86
1614387452,89
1614387453,85
1614387453,91
1614387453,87
1614387453,89
1614387453,94
1614387453,88
1614387453,89
1614387453,87
1614387453,94
1614387453,90
1614387453,78
1614387454,90
1614387454,93
1614387454,95
1614387454,88
1614387454,89
1614387454,87
1614387454,92
1614387454,95
1614387454,89
1614387454,94
1614387454,91
1614387455,86
1614387455,87
1614387455,89
1614387455,87
1614387455,88
1614387455,90
1614387455,86
1614387455,88
1614387455,89
1614387455,88
1614387455,86
1614387456,81
1614387456,92
1614387456,86
1614387456,85
1614387456,88
1614387456,85
1614387456,87
1614387456,85
1614387456,85
1614387456,90
1614387456,88
1614387456,89
1614387457,79
1614387457,82
1614387457,87
1614387457,87
1614387457,88
1614387457,89
1614387457,87
1614387457,91
1614387457,86
1614387457,87
1614387457,86
1614387458,94
1614387458,87
1614387458,94
1614387458,89
1614387458,87
1614387458,96
1614387458,87
1614387458,89
1614387458,97
1614387458,86
1614387458,87
1614387459,81
1614387459,94
1614387459,86
1614387459,89
1614387459,87
1614387459,87
1614387459,85
1614387459,84
1614387459,84
1614387459,86
1614387459,87
1614387459,85
1614387460,92
1614387460,86
1614387460,87
