Seconds,Workers,Queries,Latency,Errors
1614311039,4,3,817.00,0
1614311040,4,4,740.00,0
1614311041,4,7,1854.67,0
1614311042,4,10,1446.00,0
1614311043,4,17,780.43,0
1614311044,4,21,834.75,0
1614311045,4,26,911.20,0
1614311046,4,29,693.00,0
1614311047,4,34,1049.20,0
1614311048,4,39,844.60,0
1614311049,4,41,649.50,0
1614311050,4,45,950.00,0
1614311051,4,46,802.00,0
1614311052,4,53,1332.14,0
1614311053,4,54,886.00,0
1614311054,4,56,1056.00,0
1614311055,4,57,905.00,0
1614311056,4,58,1001.00,0
1614311057,4,58,0.00,0
1614311058,4,58,0.00,0
1614311059,4,58,0.00,0
1614311060,4,58,0.00,0
1614311061,4,58,0.00,0
1614311062,4,58,0.00,0
1614311063,4,58,0.00,0
1614311064,4,58,0.00,0
1614311065,4,60,13018.00,0
1614311066,4,60,0.00,0
1614311067,4,65,3577.20,0
1614311068,4,68,738.00,0
1614311069,4,72,3675.50,0
1614311070,4,76,997.75,0
1614311071,4,79,818.33,0
1614311072,4,80,1890.00,0
1614311073,4,80,0.00,0
1614311074,4,81,3399.00,0
1614311075,4,82,3378.00,0
1614311076,4,87,1494.40,0
1614311077,4,90,622.33,0
1614311078,4,90,0.00,0
1614311079,4,92,5868.50,0
1614311080,4,95,1885.00,0
1614311081,4,96,541.00,0
1614311082,4,99,862.50,0
1614311083,4,100,1196.00,0
1614311084,4,101,737.00,0
1614311085,4,101,0.00,0
1614311086,4,101,0.00,0
1614311087,4,102,6330.00,0
1614311088,4,104,8848.50,0
1614311089,4,107,911.00,0
1614311090,4,111,1370.50,0
1614311091,4,112,1023.00,0
1614311092,4,115,1198.33,0
1614311093,4,116,750.00,0
1614311094,4,117,790.00,0
1614311095,4,117,0.00,0
1614311096,4,120,6038.33,0
1614311097,4,123,2749.00,0
1614311098,4,124,711.00,0
1614311099,4,127,1476.00,0
1614311100,4,130,1517.33,0
1614311101,4,133,1032.33,0
1614311102,4,136,676.67,0
1614311103,4,137,1169.00,0
1614311104,4,138,686.00,0
1614311105,4,138,0.00,0
1614311106,4,138,0.00,0
1614311107,4,138,0.00,0
1614311108,4,142,5467.50,0
1614311109,4,144,860.00,0
1614311110,4,147,819.33,0
1614311111,4,150,701.33,0
1614311112,4,150,0.00,0
1614311113,4,154,3697.50,0
1614311114,4,159,587.75,0
1614311115,4,162,998.33,0
1614311116,4,166,720.00,0
1614311117,4,169,705.67,0
1614311118,4,173,2904.75,0
1614311119,4,176,932.67,0
1614311120,4,181,731.80,0
1614311121,4,185,1984.00,0
1614311122,4,188,815.67,0
1614311123,4,191,929.33,0
1614311124,4,197,732.00,0
1614311125,4,200,983.00,0
1614311126,4,201,759.00,0
1614311127,4,202,1113.00,0
1614311128,4,204,1483.50,0
1614311129,4,205,2300.00,0
1614311130,4,206,1180.00,0
1614311131,4,207,1122.00,0
1614311132,4,210,7062.67,0
1614311133,4,213,926.33,0
1614311134,4,218,1115.40,0
1614311135,4,223,922.20,0
1614311136,4,229,793.83,0
1614311137,4,232,724.67,0
1614311138,4,236,836.00,0
1614311139,4,238,829.50,0
1614311140,4,239,1150.00,0
1614311141,4,241,1911.50,0
1614311142,4,242,3149.00,0
1614311143,4,242,0.00,0
1614311144,4,244,2816.00,0
1614311145,4,246,951.50,0
1614311146,4,248,846.50,0
1614311147,4,249,648.00,0
1614311148,4,253,3646.50,0
1614311149,4,254,1107.00,0
1614311150,4,254,0.00,0
1614311151,4,255,1991.00,0
1614311152,4,258,6077.50,0
1614311153,4,259,625.00,0
1614311154,4,259,0.00,0
1614311155,4,260,1945.00,0
1614311156,4,262,1997.00,0
1614311157,4,262,0.00,0
1614311158,4,263,3532.00,0
1614311159,4,264,1207.00,0
1614311160,4,268,6254.50,0
1614311161,4,271,1228.00,0
1614311162,4,273,916.00,0
1614311163,4,275,1415.00,0
1614311164,4,278,1372.67,0
1614311165,4,282,806.00,0
1614311166,4,286,2095.50,0
1614311167,4,287,668.00,0
1614311168,4,289,2027.50,0
1614311169,4,291,1510.00,0
1614311170,4,293,1855.00,0
1614311171,4,294,1756.00,0
1614311172,4,296,622.00,0
1614311173,4,298,2058.00,0
1614311174,4,299,682.00,0
1614311175,4,301,1241.00,0
1614311176,4,304,4376.00,0
1614311177,4,308,945.75,0
1614311178,4,310,585.00,0
1614311179,4,311,729.00,0
1614311180,4,315,1611.75,0
1614311181,4,319,3288.25,0
1614311182,4,323,763.00,0
1614311183,4,326,1031.00,0
1614311184,4,330,889.00,0
1614311185,4,333,1130.00,0
1614311186,4,336,765.50,0
1614311187,4,339,2287.00,0
1614311188,4,343,1411.00,0
1614311189,4,346,695.67,0
1614311190,4,349,1701.50,0
1614311191,4,354,1062.80,0
1614311192,4,357,1431.33,0
1614311193,4,359,842.50,0
1614311194,4,363,1787.75,0
1614311195,4,367,987.00,0
1614311196,4,370,903.00,0
1614311197,4,375,570.80,0
1614311198,4,378,581.00,0
1614311199,4,379,630.00,0
1614311200,4,381,1766.00,0
1614311201,4,381,0.00,0
1614311202,4,381,0.00,0
1614311203,4,383,3362.00,0
1614311204,4,383,0.00,0
1614311205,4,386,4947.33,0
1614311206,4,388,639.50,0
1614311207,4,390,1378.50,0
1614311208,4,395,3241.80,0
1614311209,4,401,714.67,0
1614311210,4,403,800.50,0
1614311211,4,408,1273.80,0
1614311212,4,411,1077.67,0
1614311213,4,413,950.50,0
1614311214,4,417,857.50,0
1614311215,4,422,728.60,0
1614311216,4,423,748.00,0
1614311217,4,425,706.00,0
1614311218,4,427,1822.50,0
1614311219,4,429,623.50,0
1614311220,4,432,765.00,0
1614311221,4,434,808.00,0
1614311222,4,436,786.00,0
1614311223,4,438,1211.50,0
1614311224,4,441,1558.00,0
1614311225,4,443,973.00,0
1614311226,4,446,5264.00,0
1614311227,4,449,658.00,0
1614311228,4,454,689.20,0
1614311229,4,455,1626.00,0
1614311230,4,457,1245.50,0
1614311231,4,459,3754.00,0
1614311232,4,461,1092.00,0
1614311233,4,462,1029.00,0
1614311234,4,464,669.50,0
1614311235,4,465,624.00,0
1614311236,4,466,0.00,0
1614311237,4,467,1005.00,0
1614311238,4,467,0.00,0
1614311239,4,467,0.00,0
1614311240,4,469,7754.00,0
1614311241,4,472,739.67,0
1614311242,4,474,1061.00,0
1614311243,4,477,8002.33,0
1614311244,4,481,811.67,0
1614311245,4,485,1323.50,0
1614311246,4,489,863.00,0
1614311247,4,492,1214.33,0
1614311248,4,495,878.00,0
1614311249,4,496,994.00,0
1614311250,4,499,1838.00,0
1614311251,4,502,2572.33,0
1614311252,4,505,1013.00,0
1614311253,4,509,1027.25,0
1614311254,4,514,1005.20,0
1614311255,4,518,933.75,0
1614311256,4,519,811.00,0
1614311257,4,521,1181.50,0
1614311258,4,522,716.00,0
1614311259,4,523,990.00,0
1614311260,4,525,3509.00,0
1614311261,4,529,755.75,0
1614311262,4,531,1141.50,0
1614311263,4,532,655.00,0
1614311264,4,532,0.00,0
1614311265,4,533,1918.00,0
1614311266,4,536,1571.67,0
1614311267,4,539,4555.67,0
1614311268,4,544,3339.25,0
1614311269,4,549,859.40,0
1614311270,4,554,694.20,0
1614311271,4,558,878.75,0
1614311272,4,562,1085.25,0
1614311273,4,568,844.50,0
1614311274,4,573,697.20,0
1614311275,4,577,982.00,0
1614311276,4,581,788.50,0
1614311277,4,583,1424.00,0
1614311278,4,590,966.00,0
1614311279,4,592,862.50,0
1614311280,4,597,882.60,0
1614311281,4,598,740.00,0
1614311282,4,601,1649.67,0
1614311283,4,607,1411.83,0
1614311284,4,612,551.20,0
1614311285,4,617,563.00,0
1614311286,4,621,1127.75,0
1614311287,4,625,1148.00,0
1614311288,4,627,829.00,0
1614311289,4,631,979.75,0
1614311290,4,637,1104.33,0
1614311291,4,643,607.00,0
1614311292,4,648,671.00,0
1614311293,4,650,768.50,0
1614311294,4,654,974.75,0
1614311295,4,656,989.00,0
1614311296,4,657,1128.00,0
1614311297,4,660,1842.67,0
1614311298,4,662,667.50,0
1614311299,4,664,1416.50,0
1614311300,4,666,957.00,0
1614311301,4,670,3126.25,0
1614311302,4,671,873.00,0
1614311303,4,672,2062.00,0
1614311304,4,674,1261.50,0
1614311305,4,676,1227.50,0
1614311306,4,678,635.00,0
1614311307,4,681,995.33,0
1614311308,4,682,10582.00,0
1614311309,4,686,815.67,0
1614311310,4,690,1281.50,0
1614311311,4,692,815.00,0
1614311312,4,695,4466.67,0
1614311313,4,700,1018.60,0
1614311314,4,704,788.25,0
1614311315,4,706,679.50,0
1614311316,4,708,2083.00,0
1614311317,4,712,1333.75,0
1614311318,4,716,724.67,0
1614311319,4,720,807.25,0
1614311320,4,725,1793.00,0
1614311321,4,729,751.00,0
1614311322,4,733,942.25,0
1614311323,4,737,888.25,0
1614311324,4,742,758.80,0
1614311325,4,747,1227.40,0
1614311326,4,750,643.33,0
1614311327,4,755,728.60,0
1614311328,4,758,859.00,0
1614311329,4,761,743.67,0
1614311330,4,764,756.00,0
1614311331,4,765,632.00,0
1614311332,4,767,1281.50,0
1614311333,4,771,789.25,0
1614311334,4,774,2443.67,0
1614311335,4,778,3109.00,0
1614311336,4,779,718.00,0
1614311337,4,779,0.00,0
1614311338,4,782,1868.00,0
1614311339,4,782,0.00,0
1614311340,4,784,1310.00,0
1614311341,4,785,5927.00,0
1614311342,4,787,1423.50,0
1614311343,4,787,0.00,0
1614311344,4,788,2024.00,0
1614311345,4,792,2760.75,0
1614311346,4,792,0.00,0
1614311347,4,795,4788.67,0
1614311348,4,799,1536.75,0
1614311349,4,803,742.50,0
1614311350,4,805,853.00,0
1614311351,4,806,1017.00,0
1614311352,4,808,1503.50,0
1614311353,4,811,2570.00,0
1614311354,4,813,700.00,0
1614311355,4,815,3235.50,0
1614311356,4,817,2407.50,0
1614311357,4,819,1067.50,0
1614311358,4,821,1961.50,0
1614311359,4,824,660.33,0
1614311360,4,828,1351.50,0
1614311361,4,831,789.67,0
1614311362,4,832,1014.00,0
1614311363,4,835,1807.67,0
1614311364,4,839,3349.50,0
1614311365,4,844,801.80,0
1614311366,4,845,1815.00,0
1614311367,4,848,1485.00,0
1614311368,4,853,1099.20,0
1614311369,4,856,784.67,0
1614311370,4,859,748.00,0
1614311371,4,860,666.00,0
1614311372,4,860,0.00,0
1614311373,4,860,0.00,0
1614311374,4,861,3387.00,0
1614311375,4,862,752.00,0
1614311376,4,863,791.00,0
1614311377,4,863,0.00,0
1614311378,4,864,2003.00,0
1614311379,4,865,652.00,0
1614311380,4,867,6247.00,0
1614311381,4,871,6366.00,0
1614311382,4,874,1553.67,0
1614311383,4,875,1241.00,0
1614311384,4,881,1109.33,0
1614311385,4,884,1590.00,0
1614311386,4,889,864.20,0
1614311387,4,893,1044.00,0
1614311388,4,899,755.50,0
1614311389,4,903,647.00,0
1614311390,4,905,794.50,0
1614311391,4,912,1037.29,0
1614311392,4,915,799.00,0
1614311393,4,919,1340.25,0
1614311394,4,922,958.33,0
1614311395,4,929,740.33,0
1614311396,4,933,841.25,0
1614311397,4,933,0.00,0
1614311398,4,934,1912.00,0
1614311399,4,936,2070.00,0
1614311400,4,939,828.67,0
1614311401,4,940,638.00,0
1614311402,4,941,1855.00,0
1614311403,4,941,0.00,0
1614311404,4,943,2628.00,0
1614311405,4,945,637.50,0
1614311406,4,947,1095.00,0
1614311407,4,951,6031.25,0
1614311408,4,952,754.00,0
1614311409,4,955,1632.67,0
1614311410,4,958,1086.00,0
1614311411,4,960,1016.50,0
1614311412,4,962,1089.00,0
1614311413,4,964,1919.50,0
1614311414,4,967,1378.67,0
1614311415,4,969,1046.00,0
1614311416,4,971,1082.00,0
1614311417,4,973,784.00,0
1614311418,4,977,3289.50,0
1614311419,4,980,803.33,0
1614311420,4,983,748.33,0
1614311421,4,987,1197.75,0
1614311422,4,987,0.00,0
1614311423,4,990,1370.67,0
1614311424,4,992,1358.00,0
1614311425,4,995,4097.00,0
1614311426,4,997,1242.50,0
1614311427,4,1001,2014.75,0
