Seconds,Workers,Queries,Latency,Errors
1614313962,4,3,790.67,0
1614313963,4,4,714.00,0
1614313964,4,7,1995.67,0
1614313965,4,10,1525.67,0
1614313966,4,16,860.00,0
1614313967,4,20,728.25,0
1614313968,4,24,1176.25,0
1614313969,4,28,823.25,0
1614313970,4,32,856.25,0
1614313971,4,37,1013.80,0
1614313972,4,41,578.00,0
1614313973,4,45,1325.25,0
1614313974,4,46,923.00,0
1614313975,4,50,1983.00,0
1614313976,4,53,720.33,0
1614313977,4,56,750.67,0
1614313978,4,57,646.00,0
1614313979,4,58,1110.00,0
1614313980,4,58,0.00,0
1614313981,4,58,0.00,0
1614313982,4,58,0.00,0
1614313983,4,58,0.00,0
1614313984,4,58,0.00,0
1614313985,4,58,0.00,0
1614313986,4,58,0.00,0
1614313987,4,58,0.00,0
1614313988,4,60,12579.00,0
1614313989,4,61,12852.00,0
1614313990,4,65,1126.25,0
1614313991,4,70,2978.60,0
1614313992,4,74,897.00,0
1614313993,4,77,867.00,0
1614313994,4,79,619.00,0
1614313995,4,80,1697.00,0
1614313996,4,80,0.00,0
1614313997,4,82,3277.50,0
1614313998,4,86,1536.50,0
1614313999,4,89,547.33,0
1614314000,4,90,768.00,0
1614314001,4,91,1049.00,0
1614314002,4,93,7218.50,0
1614314003,4,96,1117.33,0
1614314004,4,97,2180.00,0
1614314005,4,99,1108.50,0
1614314006,4,100,1123.00,0
1614314007,4,101,621.00,0
1614314008,4,101,0.00,0
1614314009,4,101,0.00,0
1614314010,4,102,7357.00,0
1614314011,4,104,9294.00,0
1614314012,4,107,868.67,0
1614314013,4,110,1517.33,0
1614314014,4,113,776.33,0
1614314015,4,115,1225.00,0
1614314016,4,116,739.00,0
1614314017,4,117,780.00,0
1614314018,4,119,7281.50,0
1614314019,4,122,1002.33,0
1614314020,4,123,5932.00,0
1614314021,4,126,1350.00,0
1614314022,4,130,1325.25,0
1614314023,4,133,961.00,0
1614314024,4,136,552.67,0
1614314025,4,137,1097.00,0
1614314026,4,138,623.00,0
1614314027,4,138,0.00,0
1614314028,4,138,0.00,0
1614314029,4,139,3546.00,0
1614314030,4,142,6047.67,0
1614314031,4,145,741.33,0
1614314032,4,147,708.00,0
1614314033,4,150,766.00,0
1614314034,4,151,964.00,0
1614314035,4,155,3624.25,0
1614314036,4,160,609.40,0
1614314037,4,163,757.33,0
1614314038,4,166,1120.00,0
1614314039,4,170,653.25,0
1614314040,4,173,3773.67,0
1614314041,4,176,1243.33,0
1614314042,4,180,734.00,0
1614314043,4,184,1882.50,0
1614314044,4,188,956.00,0
1614314045,4,191,1000.67,0
1614314046,4,195,793.75,0
1614314047,4,199,705.00,0
1614314048,4,201,784.00,0
1614314049,4,203,1412.00,0
1614314050,4,204,730.00,0
1614314051,4,206,1514.00,0
1614314052,4,207,1140.00,0
1614314053,4,209,8184.00,0
1614314054,4,212,1408.67,0
1614314055,4,217,1228.80,0
1614314056,4,221,798.00,0
1614314057,4,227,729.83,0
1614314058,4,232,833.80,0
1614314059,4,236,854.25,0
1614314060,4,238,672.00,0
1614314061,4,239,980.00,0
1614314062,4,241,1889.50,0
1614314063,4,242,3047.00,0
1614314064,4,242,0.00,0
1614314065,4,243,2083.00,0
1614314066,4,246,1711.00,0
1614314067,4,248,847.00,0
1614314068,4,249,845.00,0
1614314069,4,253,3661.00,0
1614314070,4,254,967.00,0
1614314071,4,254,0.00,0
