Seconds,Workers,Queries,Latency,Errors
1614230129,100,200,109.57,0
1614230130,100,400,105.98,0
1614230131,100,500,104.90,0
1614230132,100,700,106.70,0
1614230133,100,882,106.71,0
1614230134,100,1000,105.96,0
1614230135,100,1200,107.40,0
1614230136,100,1346,105.55,0
1614230137,100,1500,107.11,0
1614230138,100,1700,108.03,0
1614230139,100,1820,107.31,0
1614230140,100,2000,105.47,0
1614230141,100,2200,105.71,0
1614230142,100,2305,108.37,0
1614230143,100,2500,106.27,0
1614230144,100,2695,106.78,0
1614230145,100,2802,105.89,0
1614230146,100,3000,107.91,0
1614230147,100,3186,106.34,0
1614230148,100,3300,106.69,0
1614230149,100,3500,107.36,0
1614230150,100,3668,106.92,0
1614230151,100,3800,108.43,0
1614230152,100,4000,106.90,0
1614230153,100,4149,106.09,0
1614230154,100,4300,107.69,0
1614230155,100,4497,107.84,0
1614230156,100,4626,106.47,0
1614230157,100,4800,107.86,0
1614230158,500,4991,107.46,0
1614230159,500,5921,121.59,0
1614230160,500,6819,107.22,0
1614230161,500,7487,108.04,0
1614230162,500,8413,108.19,0
1614230163,500,9146,107.37,0
1614230164,500,9977,107.78,0
1614230165,500,10905,107.74,0
1614230166,500,11555,107.10,0
1614230167,500,12463,107.68,0
1614230168,500,13394,106.59,0
1614230169,500,14018,107.18,0
1614230170,500,14951,106.76,0
1614230171,500,15706,108.14,0
1614230172,500,16246,249.81,0
1614230173,500,17150,238.32,0
1614230174,500,17837,107.17,0
1614230175,500,18724,107.44,0
1614230176,500,19631,107.65,0
1614230177,500,20294,107.31,0
1614230178,500,21211,107.77,0
1614230179,500,22096,107.17,0
1614230180,500,22778,107.30,0
1614230181,500,23693,107.25,0
1614230182,500,24523,107.02,0
1614230183,500,25264,107.37,0
1614230184,500,26173,107.19,0
1614230185,500,26934,106.69,0
1614230186,500,27751,107.47,0
1614230187,500,28658,106.81,0
1614230188,1000,29361,108.08,0
1614230189,1000,29956,716.39,0
1614230190,1000,31537,438.89,0
