Seconds,Workers,Queries,Latency,Errors
1614379503,5,10,105.10,0
1614379504,5,20,101.30,0
1614379505,5,25,111.00,0
1614379506,5,35,102.40,0
1614379507,5,45,106.40,0
1614379508,5,50,108.00,0
1614379509,5,60,102.80,0
1614379510,5,70,104.70,0
1614379511,5,75,100.80,0
1614379512,5,85,104.60,0
1614379513,5,93,103.50,0
1614379514,5,100,102.20,0
1614379515,5,110,104.50,0
1614379516,5,115,113.20,0
1614379517,5,125,105.83,0
1614379518,5,135,107.30,0
1614379519,5,140,110.80,0
1614379520,5,150,101.00,0
1614379521,5,160,106.70,0
1614379522,5,165,106.20,0
1614379523,5,175,100.50,0
1614379524,5,185,104.60,0
1614379525,5,190,102.00,0
1614379526,5,200,103.90,0
1614379527,5,210,101.90,0
1614379528,5,215,105.40,0
1614379529,5,225,101.80,0
1614379530,5,235,105.50,0
1614379531,5,240,101.80,0
1614379532,5,250,102.50,0
1614379533,5,260,100.80,0
1614379534,5,265,102.40,0
1614379535,5,275,102.60,0
1614379536,5,284,104.00,0
1614379537,5,290,104.60,0
1614379538,5,300,100.40,0
1614379539,5,308,101.62,0
1614379540,5,315,104.40,0
1614379541,5,325,107.40,0
1614379542,5,333,100.00,0
1614379543,5,340,110.00,0
1614379544,5,350,101.60,0
1614379545,5,358,102.12,0
1614379546,5,365,105.29,0
1614379547,5,375,103.30,0
1614379548,5,381,101.86,0
1614379549,5,390,108.86,0
1614379550,5,400,104.20,0
1614379551,5,405,99.20,0
1614379552,5,415,102.67,0
1614379553,5,425,102.70,0
1614379554,5,430,105.00,0
1614379555,5,440,106.22,0
1614379556,5,450,109.60,0
1614379557,5,455,103.20,0
1614379558,5,465,106.10,0
1614379559,5,474,103.56,0
1614379560,5,480,99.80,0
1614379561,5,490,103.20,0
1614379562,5,498,106.38,0
1614379563,5,505,99.00,0
1614379564,5,515,108.20,0
1614379565,5,523,109.00,0
1614379566,5,530,101.57,0
1614379567,5,540,105.10,0
1614379568,5,547,103.00,0
1614379569,5,555,103.43,0
1614379570,5,565,103.30,0
1614379571,5,572,100.86,0
1614379572,5,580,104.57,0
1614379573,5,590,103.30,0
1614379574,5,597,101.29,0
1614379575,5,605,101.75,0
1614379576,5,615,102.70,0
1614379577,5,620,108.60,0
1614379578,5,630,107.00,0
1614379579,5,640,102.50,0
1614379580,5,646,102.00,0
1614379581,5,655,101.67,0
1614379582,5,665,102.40,0
1614379583,5,670,102.40,0
1614379584,5,680,104.33,0
1614379585,5,689,101.22,0
1614379586,5,695,101.80,0
1614379587,5,705,104.80,0
1614379588,5,714,99.89,0
1614379589,5,720,103.20,0
1614379590,5,730,102.60,0
1614379591,5,738,109.88,0
1614379592,5,745,104.33,0
1614379593,5,755,104.30,0
1614379594,5,763,104.38,0
1614379595,5,770,101.50,0
1614379596,5,780,103.20,0
1614379597,5,788,105.00,0
1614379598,5,795,102.57,0
1614379599,5,805,108.00,0
1614379600,5,812,107.00,0
1614379601,5,820,110.00,0
1614379602,10,830,109.50,0
1614379603,10,846,104.81,0
1614379604,10,865,101.17,0
1614379605,10,880,102.13,0
1614379606,10,895,104.73,0
1614379607,10,915,101.56,0
1614379608,10,930,102.20,0
1614379609,10,945,101.47,0
1614379610,10,965,106.11,0
1614379611,10,979,103.21,0
1614379612,10,995,103.25,0
1614379613,10,1015,105.90,0
1614379614,10,1028,103.77,0
1614379615,10,1045,104.06,0
1614379616,10,1063,103.83,0
1614379617,10,1078,103.08,0
1614379618,10,1095,106.76,0
1614379619,10,1111,105.00,0
1614379620,10,1128,104.93,0
1614379621,10,1145,103.12,0
1614379622,10,1161,100.38,0
1614379623,10,1178,101.06,0
1614379624,10,1195,102.94,0
1614379625,10,1210,106.47,0
1614379626,10,1228,109.59,0
1614379627,10,1245,103.47,0
1614379628,10,1259,104.36,0
1614379629,10,1277,102.76,0
1614379630,10,1294,105.94,0
1614379631,10,1309,103.86,0
1614379632,10,1327,104.35,0
1614379633,10,1344,102.65,0
1614379634,10,1359,104.27,0
1614379635,10,1377,102.56,0
1614379636,10,1394,100.29,0
1614379637,10,1409,104.73,0
1614379638,10,1426,104.82,0
1614379639,10,1444,106.28,0
1614379640,10,1458,103.93,0
1614379641,10,1475,104.76,0
1614379642,10,1493,103.76,0
1614379643,10,1508,103.50,0
1614379644,10,1525,104.65,0
1614379645,10,1543,102.17,0
1614379646,10,1558,101.93,0
1614379647,10,1575,102.76,0
1614379648,10,1592,105.18,0
1614379649,10,1608,105.20,0
1614379650,10,1625,107.35,0
1614379651,10,1642,103.24,0
1614379652,10,1658,105.44,0
1614379653,10,1675,101.94,0
1614379654,10,1691,104.69,0
1614379655,10,1707,102.73,0
1614379656,10,1724,105.35,0
1614379657,10,1740,105.12,0
1614379658,10,1756,101.12,0
1614379659,10,1774,105.47,0
1614379660,10,1790,102.62,0
1614379661,10,1806,104.38,0
1614379662,10,1824,102.72,0
1614379663,10,1840,102.50,0
1614379664,10,1856,104.00,0
1614379665,10,1874,103.72,0
1614379666,10,1888,106.14,0
1614379667,10,1905,106.31,0
1614379668,10,1924,102.68,0
1614379669,10,1938,105.07,0
1614379670,10,1955,101.24,0
1614379671,10,1972,103.76,0
1614379672,10,1988,102.20,0
1614379673,10,2005,105.88,0
1614379674,10,2022,103.59,0
1614379675,10,2037,104.40,0
1614379676,10,2055,105.28,0
1614379677,10,2071,105.94,0
1614379678,10,2087,103.20,0
1614379679,10,2105,102.67,0
1614379680,10,2121,100.56,0
1614379681,10,2137,103.75,0
1614379682,10,2155,102.33,0
1614379683,10,2170,101.20,0
1614379684,10,2186,103.33,0
1614379685,10,2205,101.89,0
1614379686,10,2220,102.47,0
1614379687,10,2235,101.40,0
1614379688,10,2255,105.05,0
1614379689,10,2269,105.36,0
1614379690,10,2285,106.50,0
1614379691,10,2304,104.95,0
1614379692,10,2319,103.60,0
1614379693,10,2335,103.12,0
1614379694,10,2354,106.21,0
1614379695,10,2368,101.07,0
1614379696,10,2385,104.53,0
1614379697,10,2404,104.68,0
1614379698,10,2418,102.43,0
1614379699,10,2435,103.59,0
1614379700,10,2454,104.16,0
1614379701,10,2468,102.86,0
1614379702,700,2484,106.06,0
1614379703,700,3882,136.25,0
1614379704,700,4858,110.29,0
1614379705,700,5984,107.18,0
1614379706,700,7381,105.64,0
1614379707,700,8256,104.81,0
1614379708,700,9484,104.89,0
1614379709,700,10881,104.66,0
1614379710,700,11682,104.48,0
1614379711,700,12984,104.50,0
1614379712,700,14376,104.37,0
1614379713,700,15148,103.87,0
1614379714,700,16484,126.51,0
1614379715,700,17653,104.33,0
1614379716,700,18623,103.50,0
1614379717,700,19983,103.83,0
1614379718,700,21128,103.69,0
1614379719,700,22101,103.59,0
1614379720,700,23474,104.10,0
1614379721,700,24581,103.55,0
1614379722,700,25590,103.86,0
1614379723,700,26953,103.65,0
1614379724,700,28049,103.81,0
1614379725,700,29086,103.88,0
1614379726,700,30434,103.89,0
1614379727,700,31507,103.63,0
1614379728,700,32584,104.17,0
1614379729,700,33768,128.73,0
1614379730,700,34924,104.12,0
1614379731,700,36084,103.44,0
1614379732,700,37248,103.91,0
1614379733,700,38361,103.62,0
1614379734,700,39576,103.76,0
1614379735,700,40727,103.88,0
1614379736,700,41825,103.41,0
1614379737,700,43057,103.15,0
1614379738,700,44211,103.74,0
1614379739,700,45289,102.88,0
1614379740,700,46541,103.11,0
1614379741,700,47700,103.19,0
1614379742,700,48761,103.18,0
1614379743,700,50012,103.54,0
1614379744,700,51186,105.78,0
1614379745,700,52235,103.18,0
1614379746,700,53485,103.32,0
1614379747,700,54660,103.25,0
1614379748,700,55722,102.89,0
1614379749,700,56959,102.90,0
1614379750,700,58136,102.72,0
1614379751,700,59215,103.19,0
1614379752,700,60440,102.93,0
1614379753,700,61597,103.14,0
1614379754,700,62703,102.96,0
1614379755,700,63923,102.65,0
1614379756,700,65056,103.00,0
1614379757,700,66198,103.34,0
1614379758,700,67408,103.59,0
1614379759,700,68517,103.87,0
1614379760,700,69690,103.16,0
1614379761,700,70894,102.57,0
