Seconds,Workers,Queries,Latency,Errors
1614142667,10,20,104.95,0
1614142668,10,40,103.15,0
1614142669,10,50,103.70,0
1614142670,10,70,103.70,0
1614142671,10,90,103.35,0
1614142672,10,100,103.10,0
1614142673,10,120,103.80,0
1614142674,10,139,104.05,0
1614142675,10,150,104.10,0
1614142676,10,170,104.40,0
1614142677,10,188,103.00,0
1614142678,10,200,103.90,0
1614142679,10,220,103.75,0
1614142680,10,236,103.50,0
1614142681,10,250,106.25,0
1614142682,10,270,103.50,0
1614142683,10,283,102.62,0
1614142684,10,300,106.21,0
1614142685,10,320,103.65,0
1614142686,10,331,103.55,0
1614142687,10,350,103.71,0
1614142688,10,370,105.45,0
1614142689,10,380,104.10,0
1614142690,10,400,102.47,0
1614142691,10,420,105.20,0
1614142692,10,430,105.10,0
1614142693,10,450,104.35,0
1614142694,10,470,103.95,0
1614142695,10,480,103.30,0
1614142696,15,500,105.65,0
1614142697,15,528,103.61,0
1614142698,15,550,103.45,0
1614142699,15,575,103.68,0
1614142700,15,603,103.64,0
1614142701,15,625,101.70,0
1614142702,15,650,103.24,0
1614142703,15,677,104.96,0
1614142704,15,700,105.00,0
1614142705,15,725,104.36,0
1614142706,15,752,103.67,0
1614142707,15,775,104.14,0
1614142708,15,800,103.72,0
1614142709,15,822,103.91,0
1614142710,15,848,102.55,0
1614142711,15,875,103.44,0
1614142712,15,896,103.33,0
1614142713,15,920,107.33,0
1614142714,15,950,103.76,0
1614142715,15,971,104.38,0
1614142716,15,995,103.96,0
1614142717,15,1024,102.83,0
1614142718,15,1045,103.45,0
1614142719,15,1070,104.21,0
1614142720,15,1099,103.34,0
1614142721,15,1120,103.24,0
1614142722,15,1145,105.12,0
1614142723,15,1174,103.38,0
1614142724,15,1195,104.19,0
1614142725,15,1220,105.04,0
1614142726,22,1248,105.00,0
1614142727,22,1284,105.34,0
1614142728,22,1323,104.21,0
1614142729,22,1357,104.53,0
1614142730,22,1394,104.00,0
1614142731,22,1433,104.31,0
1614142732,22,1465,104.12,0
1614142733,22,1504,104.03,0
1614142734,22,1543,104.05,0
1614142735,22,1573,103.63,0
1614142736,22,1611,103.19,0
1614142737,22,1652,105.63,0
1614142738,22,1682,103.34,0
1614142739,22,1720,104.17,0
1614142740,22,1761,104.15,0
1614142741,22,1791,104.59,0
1614142742,22,1829,103.76,0
1614142743,22,1867,104.30,0
1614142744,22,1900,103.77,0
1614142745,22,1939,104.66,0
1614142746,22,1976,103.83,0
1614142747,22,2010,103.97,0
1614142748,22,2049,102.69,0
1614142749,22,2085,105.17,0
1614142750,22,2120,104.50,0
1614142751,22,2159,104.56,0
1614142752,22,2194,103.71,0
1614142753,22,2230,102.94,0
1614142754,22,2269,106.18,0
1614142755,22,2303,104.56,0
1614142756,33,2340,104.08,0
1614142757,33,2401,105.00,0
1614142758,33,2456,103.64,0
1614142759,33,2505,103.18,0
1614142760,33,2566,102.57,0
1614142761,33,2620,103.00,0
1614142762,33,2668,103.55,0
1614142763,33,2731,103.89,0
1614142764,33,2782,104.71,0
1614142765,33,2831,103.94,0
1614142766,33,2894,103.66,0
1614142767,33,2946,104.37,0
1614142768,33,2995,103.53,0
1614142769,33,3058,102.65,0
1614142770,33,3110,103.08,0
1614142771,33,3160,104.90,0
1614142772,33,3221,103.46,0
1614142773,33,3273,103.33,0
1614142774,33,3325,104.94,0
1614142775,33,3383,103.40,0
1614142776,33,3433,104.02,0
1614142777,33,3490,103.89,0
1614142778,33,3547,103.74,0
1614142779,33,3596,102.98,0
1614142780,33,3655,103.73,0
1614142781,33,3712,103.53,0
1614142782,33,3759,105.21,0
1614142783,33,3820,103.82,0
1614142784,33,3876,104.52,0
1614142785,33,3923,103.89,0
1614142786,49,3985,103.83,0
1614142787,49,4073,103.88,0
1614142788,49,4152,104.24,0
1614142789,49,4230,104.91,0
1614142790,49,4317,103.87,0
1614142791,49,4394,104.01,0
1614142792,49,4474,104.17,0
1614142793,49,4560,103.29,0
1614142794,49,4639,104.46,0
1614142795,49,4717,103.27,0
1614142796,49,4801,103.80,0
1614142797,49,4884,104.06,0
1614142798,49,4961,105.10,0
1614142799,49,5043,104.81,0
1614142800,49,5129,105.10,0
1614142801,49,5202,103.32,0
1614142802,49,5287,103.89,0
1614142803,49,5369,104.81,0
1614142804,49,5447,104.41,0
1614142805,49,5527,103.06,0
1614142806,49,5607,103.04,0
1614142807,49,5691,103.88,0
1614142808,49,5770,104.60,0
1614142809,49,5849,104.74,0
1614142810,49,5935,103.41,0
1614142811,49,6015,104.72,0
1614142812,49,6093,103.26,0
1614142813,49,6179,104.09,0
1614142814,49,6258,104.56,0
1614142815,49,6338,103.26,0
1614142816,73,6424,105.24,0
1614142817,73,6549,103.81,0
1614142818,73,6677,104.06,0
1614142819,73,6787,104.97,0
1614142820,73,6914,104.06,0
1614142821,73,7038,103.91,0
1614142822,73,7150,103.72,0
1614142823,73,7279,105.07,0
1614142824,73,7401,103.21,0
1614142825,73,7512,103.57,0
1614142826,73,7643,103.57,0
1614142827,73,7765,103.54,0
1614142828,73,7875,103.33,0
1614142829,73,8004,104.28,0
1614142830,73,8128,103.72,0
1614142831,73,8236,103.95,0
1614142832,73,8366,104.41,0
1614142833,73,8493,103.21,0
1614142834,73,8599,103.16,0
1614142835,73,8727,103.78,0
1614142836,73,8853,103.91,0
1614142837,73,8961,103.80,0
1614142838,73,9090,103.94,0
1614142839,73,9209,103.65,0
1614142840,73,9325,104.53,0
1614142841,73,9452,103.39,0
1614142842,73,9569,104.31,0
1614142843,73,9690,103.51,0
1614142844,73,9816,103.64,0
1614142845,73,9926,103.74,0
1614142846,109,10054,104.17,0
1614142847,109,10250,104.96,0
1614142848,109,10433,104.13,0
1614142849,109,10597,104.60,0
1614142850,109,10791,103.59,0
1614142851,109,10977,103.87,0
1614142852,109,11142,103.85,0
1614142853,109,11335,103.43,0
1614142854,109,11521,104.23,0
1614142855,109,11684,103.70,0
1614142856,109,11879,103.74,0
1614142857,109,12062,104.22,0
1614142858,109,12224,103.51,0
1614142859,109,12422,102.75,0
1614142860,109,12606,103.72,0
1614142861,109,12767,103.45,0
1614142862,109,12967,104.17,0
1614142863,109,13146,103.27,0
1614142864,109,13308,103.99,0
1614142865,109,13510,104.01,0
1614142866,109,13681,103.53,0
1614142867,109,13853,103.65,0
1614142868,109,14048,103.51,0
1614142869,109,14220,104.37,0
1614142870,109,14396,103.91,0
1614142871,109,14587,103.46,0
1614142872,109,14752,103.59,0
1614142873,109,14940,103.80,0
1614142874,109,15127,103.85,0
1614142875,109,15289,103.31,0
1614142876,163,15484,103.43,0
1614142877,163,15778,105.02,0
1614142878,163,16048,103.80,0
1614142879,163,16293,103.37,0
1614142880,163,16588,103.79,0
1614142881,163,16860,104.03,0
1614142882,163,17107,103.38,0
1614142883,163,17399,103.93,0
1614142884,163,17672,103.96,0
1614142885,163,17921,104.00,0
1614142886,163,18210,103.75,0
1614142887,163,18483,104.16,0
1614142888,163,18735,103.71,0
1614142889,163,19023,103.68,0
1614142890,163,19295,103.83,0
1614142891,163,19547,104.17,0
1614142892,163,19831,103.92,0
1614142893,163,20108,103.71,0
1614142894,163,20359,103.46,0
1614142895,163,20637,104.07,0
1614142896,163,20916,103.78,0
1614142897,163,21174,103.82,0
1614142898,163,21446,103.13,0
1614142899,163,21721,103.73,0
1614142900,163,21982,103.61,0
1614142901,163,22259,103.51,0
1614142902,163,22517,103.46,0
1614142903,163,22790,103.91,0
1614142904,163,23063,104.37,0
1614142905,163,23314,103.75,0
1614142906,244,23601,103.90,0
1614142907,244,24035,104.04,0
1614142908,244,24444,103.47,0
1614142909,244,24816,103.79,0
1614142910,244,25250,104.22,0
1614142911,244,25662,104.09,0
1614142912,244,26030,104.15,0
1614142913,244,26468,104.59,0
1614142914,244,26878,103.65,0
1614142915,244,27247,103.89,0
1614142916,244,27684,104.31,0
1614142917,244,28095,104.35,0
1614142918,244,28463,104.11,0
1614142919,244,28897,104.15,0
1614142920,244,29313,103.97,0
1614142921,244,29675,104.08,0
1614142922,244,30108,103.48,0
1614142923,244,30529,103.71,0
1614142924,244,30890,103.73,0
1614142925,244,31321,103.55,0
1614142926,244,31681,106.78,0
1614142927,244,32104,107.14,0
1614142928,244,32527,104.36,0
1614142929,244,32887,103.60,0
1614142930,244,33321,103.89,0
1614142931,244,33739,103.79,0
1614142932,244,34104,104.14,0
1614142933,244,34533,104.00,0
1614142934,244,34950,103.67,0
1614142935,244,35296,103.49,0
1614142936,366,35786,127.08,0
1614142937,366,36394,104.94,0
1614142938,366,36996,104.58,0
1614142939,366,37555,104.74,0
1614142940,366,38211,105.91,0
1614142941,366,38819,104.77,0
1614142942,366,39378,104.75,0
1614142943,366,40029,103.98,0
1614142944,366,40644,104.66,0
1614142945,366,41203,104.83,0
1614142946,366,41829,104.10,0
1614142947,366,42463,105.34,0
1614142948,366,43029,103.89,0
1614142949,366,43637,104.11,0
1614142950,366,44287,104.57,0
1614142951,366,44852,104.54,0
1614142952,366,45449,104.40,0
1614142953,366,46095,104.56,0
1614142954,366,46671,104.25,0
1614142955,366,47271,104.67,0
1614142956,366,47886,104.41,0
1614142957,366,48489,104.39,0
1614142958,366,49088,103.68,0
1614142959,366,49683,104.13,0
1614142960,366,50309,104.36,0
1614142961,366,50908,104.20,0
1614142962,366,51481,103.91,0
1614142963,366,52128,103.66,0
1614142964,366,52733,104.34,0
1614142965,366,53299,104.70,0
1614142966,549,54016,106.19,0
1614142967,549,54922,107.17,0
1614142968,549,55847,106.23,0
1614142969,549,56665,105.80,0
1614142970,549,57662,105.90,0
1614142971,549,58588,112.93,0
1614142972,549,59384,106.52,0
1614142973,549,60374,106.08,0
1614142974,549,61301,107.55,0
1614142975,549,62115,106.05,0
1614142976,549,63096,104.59,0
1614142977,549,63720,185.45,0
1614142978,549,64491,299.47,0
1614142979,549,65438,105.03,0
1614142980,549,66418,104.29,0
1614142981,549,67233,104.44,0
1614142982,549,68169,104.29,0
1614142983,549,69106,104.71,0
1614142984,549,69976,104.23,0
1614142985,549,70903,104.01,0
1614142986,549,71802,103.82,0
1614142987,549,72713,105.27,0
1614142988,549,73636,104.01,0
1614142989,549,74500,104.15,0
1614142990,549,75449,104.52,0
1614142991,549,76371,103.72,0
1614142992,549,77219,103.95,0
1614142993,549,78179,104.20,0
1614142994,549,79110,103.92,0
1614142995,549,79939,103.99,0
1614142996,823,80965,105.73,0
1614142997,823,82391,115.70,0
1614142998,823,83755,109.06,0
1614142999,823,84979,105.20,0
1614143000,823,85930,125.71,0
1614143001,823,87081,434.67,0
1614143002,823,88493,106.39,0
1614143003,823,89876,104.10,0
1614143004,823,91144,104.84,0
1614143005,823,92594,105.31,0
1614143006,823,93933,104.54,0
1614143007,823,95210,105.06,0
1614143008,823,96694,104.94,0
1614143009,823,98002,118.32,0
1614143010,823,99301,104.82,0
1614143011,823,100704,104.42,0
1614143012,823,102090,104.19,0
1614143013,823,103398,104.25,0
1614143014,823,104781,104.12,0
1614143015,823,106178,104.11,0
1614143016,823,107495,104.90,0
1614143017,823,108862,104.62,0
1614143018,823,110214,104.71,0
1614143019,823,111596,106.03,0
1614143020,823,112951,104.40,0
1614143021,823,114284,104.47,0
1614143022,823,115686,104.47,0
1614143023,823,117041,104.23,0
1614143024,823,118351,103.93,0
1614143025,823,119761,104.31,0
1614143026,1234,121209,107.40,0
1614143027,1234,122659,171.10,0
1614143028,1234,124632,288.06,0
1614143029,1234,126699,107.58,0
1614143030,1234,128669,105.08,0
1614143031,1234,130746,105.07,0
1614143032,1234,132797,105.02,0
1614143033,1234,134794,105.34,0
1614143034,1234,136747,140.23,0
1614143035,1234,138791,106.63,0
1614143036,1234,140819,104.73,0
1614143037,1234,142859,105.16,0
1614143038,1234,144891,104.53,0
1614143039,1234,146945,104.84,0
1614143040,1234,148959,105.39,0
1614143041,1234,151004,107.71,0
1614143042,1234,153022,106.06,0
1614143043,1234,155061,104.93,0
1614143044,1234,157117,104.66,0
1614143045,1234,159134,104.81,0
1614143046,1234,161176,104.68,0
1614143047,1234,163223,104.99,0
1614143048,1234,165253,105.72,0
1614143049,1234,167277,111.32,0
1614143050,1234,169311,105.51,0
1614143051,1234,171361,104.85,0
1614143052,1234,173390,104.77,0
1614143053,1234,175423,105.07,0
1614143054,1234,177479,104.90,0
1614143055,1234,179506,106.16,0
1614143056,1851,181356,108.04,0
1614143057,1851,184089,270.67,0
1614143058,1851,187158,125.05,0
1614143059,1851,190079,116.02,0
1614143060,1851,193157,120.63,0
1614143061,1851,195404,220.94,0
1614143062,1851,197570,354.02,0
1614143063,1851,200232,252.55,0
1614143064,1851,203264,128.66,0
1614143065,1851,206329,111.09,0
1614143066,1851,209377,110.34,0
1614143067,1851,211832,163.45,0
1614143068,1851,214226,265.81,0
1614143069,1851,217018,228.31,0
1614143070,1851,220123,124.60,0
1614143071,1851,222954,113.31,0
1614143072,1851,226056,120.05,0
1614143073,1851,228569,185.47,0
1614143074,1851,230994,213.39,0
1614143075,1851,233779,253.09,0
1614143076,1851,236604,122.29,0
1614143077,1851,239717,118.36,0
1614143078,1851,242688,111.18,0
1614143079,1851,245348,152.19,0
1614143080,1851,248084,195.40,0
1614143081,1851,250575,226.70,0
1614143082,1851,253684,141.87,0
1614143083,1851,256616,112.20,0
1614143084,1851,259708,112.69,0
1614143085,1851,262600,111.04,0
1614143086,2776,265087,207.73,0
1614143087,2776,267440,514.24,0
1614143088,2776,271072,475.69,0
1614143089,2776,274648,230.77,0
1614143090,2776,278434,249.71,0
1614143091,2776,281437,285.20,0
1614143092,2776,284042,566.35,0
1614143093,2776,286854,556.99,0
1614143094,2776,290745,266.71,0
1614143095,2776,294449,234.57,0
1614143096,2776,298041,250.65,0
1614143097,2776,300407,482.35,0
1614143098,2776,302847,575.62,0
1614143099,2776,306711,437.37,0
1614143100,2776,310347,229.32,0
1614143101,2776,314056,249.18,0
1614143102,2776,316965,300.86,0
1614143103,2776,319663,556.29,0
1614143104,2776,322319,549.57,0
1614143105,2776,326133,314.33,0
1614143106,2776,329771,258.27,0
1614143107,2776,333465,260.88,0
1614143108,2776,335954,362.83,0
1614143109,2776,338691,570.34,0
1614143110,2776,341740,543.52,0
1614143111,2776,345564,245.43,0
1614143112,2776,349233,249.44,0
1614143113,2776,352489,259.20,0
1614143114,2776,355168,505.60,0
1614143115,2776,357807,557.90,0
1614143116,4164,361124,417.47,0
1614143117,4164,364805,598.39,0
1614143118,4164,368483,632.19,0
1614143119,4164,371593,691.93,0
1614143120,4164,374204,986.79,0
1614143121,4164,376632,1052.77,0
1614143122,4164,380442,914.39,0
1614143123,4164,383777,660.58,0
1614143124,4164,387468,670.20,0
1614143125,4164,390287,690.82,0
1614143126,4164,392866,1019.66,0
1614143127,4164,395919,1089.86,0
1614143128,4164,399579,751.56,0
1614143129,4164,403115,637.82,0
1614143130,4164,406592,622.57,0
1614143131,4164,408988,834.21,0
1614143132,4164,411328,1167.52,0
1614143133,4164,415033,1017.83,0
1614143134,4164,418738,585.89,0
