Seconds,Workers,Queries,Latency,Errors
1614143326,10,20,134.15,0
1614143327,10,34,120.36,0
1614143328,10,50,117.64,0
1614143329,10,70,120.20,0
1614143330,10,80,122.20,0
1614143331,10,100,118.20,0
1614143332,10,116,121.75,0
1614143333,10,130,122.17,0
1614143334,10,150,116.65,0
1614143335,10,160,115.40,0
1614143336,10,180,117.59,0
1614143337,10,200,117.20,0
1614143338,10,210,116.80,0
1614143339,10,230,117.75,0
1614143340,10,243,118.23,0
1614143341,10,260,118.50,0
1614143342,10,280,118.95,0
1614143343,10,290,121.80,0
1614143344,10,310,116.20,0
1614143345,10,326,116.38,0
1614143346,10,340,114.27,0
1614143347,10,360,116.60,0
1614143348,10,373,116.08,0
1614143349,10,390,115.65,0
1614143350,10,410,116.20,0
1614143351,10,420,114.90,0
1614143352,10,440,115.80,0
1614143353,10,456,114.81,0
1614143354,10,470,113.14,0
1614143355,15,490,115.60,0
1614143356,15,513,118.17,0
1614143357,15,540,116.12,0
1614143358,15,564,116.54,0
1614143359,15,585,115.10,0
1614143360,15,610,117.56,0
1614143361,15,636,115.85,0
1614143362,15,660,116.29,0
1614143363,15,685,117.32,0
1614143364,15,706,116.29,0
1614143365,15,731,119.62,0
1614143366,15,760,121.17,0
1614143367,15,780,114.75,0
1614143368,15,805,117.48,0
1614143369,15,828,117.78,0
1614143370,15,855,118.81,0
1614143371,15,880,117.64,0
1614143372,15,901,117.14,0
1614143373,15,926,118.00,0
1614143374,15,952,120.23,0
1614143375,15,975,118.43,0
1614143376,15,1000,117.72,0
1614143377,15,1021,114.05,0
1614143378,15,1046,118.40,0
1614143379,15,1075,118.93,0
1614143380,15,1096,120.76,0
1614143381,15,1120,116.38,0
1614143382,15,1144,117.38,0
1614143383,15,1169,117.56,0
1614143384,15,1195,117.35,0
1614143385,22,1216,115.14,0
1614143386,22,1256,122.08,0
1614143387,22,1296,117.78,0
1614143388,22,1326,117.57,0
1614143389,22,1364,120.82,0
1614143390,22,1393,118.79,0
1614143391,22,1434,117.71,0
1614143392,22,1474,117.39,0
1614143393,22,1502,121.04,0
1614143394,22,1540,117.13,0
1614143395,22,1574,115.78,0
1614143396,22,1612,116.46,0
1614143397,22,1650,115.50,0
1614143398,22,1678,119.46,0
1614143399,22,1719,117.32,0
1614143400,22,1753,117.41,0
1614143401,22,1788,115.63,0
1614143402,22,1826,117.66,0
1614143403,22,1858,116.90,0
1614143404,22,1898,115.73,0
1614143405,22,1935,116.24,0
1614143406,22,1964,118.50,0
1614143407,22,2005,118.90,0
1614143408,22,2039,115.18,0
1614143409,22,2074,117.16,0
1614143410,22,2112,117.11,0
1614143411,22,2142,115.48,0
1614143412,22,2183,117.50,0
1614143413,22,2218,115.94,0
1614143414,22,2250,116.82,0
1614143415,33,2289,117.84,0
1614143416,33,2343,127.73,0
1614143417,33,2396,125.98,0
1614143418,33,2453,115.40,0
1614143419,33,2505,116.67,0
1614143420,33,2557,118.66,0
1614143421,33,2611,117.72,0
1614143422,33,2666,115.82,0
1614143423,33,2718,118.18,0
1614143424,33,2772,116.98,0
1614143425,33,2823,115.70,0
1614143426,33,2879,116.70,0
1614143427,33,2934,117.04,0
1614143428,33,2984,115.66,0
1614143429,33,3039,117.30,0
1614143430,33,3090,119.29,0
1614143431,33,3147,117.57,0
1614143432,33,3198,117.62,0
1614143433,33,3252,117.55,0
1614143434,33,3307,116.11,0
1614143435,33,3358,124.06,0
1614143436,33,3412,115.83,0
1614143437,33,3466,117.60,0
1614143438,33,3518,116.96,0
1614143439,33,3575,117.21,0
1614143440,33,3627,115.63,0
1614143441,33,3679,116.54,0
1614143442,33,3733,116.15,0
1614143443,33,3785,115.84,0
1614143444,33,3841,116.04,0
1614143445,49,3894,115.83,0
1614143446,49,3979,143.77,0
1614143447,49,4048,121.75,0
1614143448,49,4133,123.78,0
1614143449,49,4212,122.71,0
1614143450,49,4288,122.19,0
1614143451,49,4373,123.16,0
1614143452,49,4444,124.76,0
1614143453,49,4528,118.88,0
1614143454,49,4606,116.91,0
1614143455,49,4682,118.90,0
1614143456,49,4768,117.56,0
1614143457,49,4841,115.99,0
1614143458,49,4923,118.38,0
1614143459,49,5002,117.56,0
1614143460,49,5076,117.23,0
1614143461,49,5162,119.18,0
1614143462,49,5238,119.01,0
1614143463,49,5319,119.89,0
1614143464,49,5398,118.09,0
1614143465,49,5474,118.06,0
1614143466,49,5559,130.93,0
1614143467,49,5631,118.21,0
1614143468,49,5713,117.44,0
1614143469,49,5790,117.57,0
1614143470,49,5869,117.81,0
1614143471,49,5953,118.81,0
1614143472,49,6029,120.15,0
1614143473,49,6106,120.52,0
1614143474,49,6185,118.44,0
1614143475,73,6267,119.32,0
1614143476,73,6396,178.23,0
1614143477,73,6488,158.37,0
1614143478,73,6599,140.62,0
1614143479,73,6717,167.52,0
1614143480,73,6828,129.17,0
1614143481,73,6948,127.50,0
1614143482,73,7065,125.94,0
1614143483,73,7183,122.05,0
1614143484,73,7302,121.40,0
1614143485,73,7416,121.92,0
1614143486,73,7537,123.81,0
1614143487,73,7649,119.94,0
1614143488,73,7768,120.83,0
1614143489,73,7886,121.47,0
1614143490,73,7996,146.06,0
1614143491,73,8116,133.89,0
1614143492,73,8229,120.12,0
1614143493,73,8351,122.91,0
1614143494,73,8464,121.60,0
1614143495,73,8585,122.53,0
1614143496,73,8702,122.10,0
1614143497,73,8816,124.80,0
1614143498,73,8937,120.67,0
1614143499,73,9051,121.94,0
1614143500,73,9170,122.89,0
1614143501,73,9281,126.97,0
1614143502,73,9405,132.45,0
1614143503,73,9515,121.55,0
1614143504,73,9638,121.82,0
1614143505,109,9755,121.93,0
1614143506,109,9907,188.88,0
1614143507,109,10089,181.59,0
1614143508,109,10239,184.35,0
1614143509,109,10398,168.16,0
1614143510,109,10556,182.33,0
1614143511,109,10726,207.39,0
1614143512,109,10877,198.38,0
1614143513,109,11043,152.93,0
1614143514,109,11209,155.18,0
1614143515,109,11382,139.86,0
1614143516,109,11542,144.60,0
1614143517,109,11720,148.62,0
1614143518,109,11884,147.29,0
1614143519,109,12044,158.52,0
1614143520,109,12196,184.30,0
1614143521,109,12374,173.94,0
1614143522,109,12529,172.59,0
1614143523,109,12696,161.01,0
1614143524,109,12866,160.67,0
1614143525,109,13017,160.55,0
1614143526,109,13199,159.66,0
1614143527,109,13358,142.84,0
1614143528,109,13521,146.02,0
1614143529,109,13698,163.45,0
1614143530,109,13858,156.27,0
1614143531,109,14018,169.26,0
1614143532,109,14187,165.76,0
1614143533,109,14354,134.08,0
1614143534,109,14528,136.57,0
1614143535,163,14698,138.17,0
1614143536,163,14883,332.57,0
1614143537,163,15115,278.79,0
1614143538,163,15326,244.48,0
1614143539,163,15533,254.10,0
1614143540,163,15737,343.07,0
1614143541,163,15909,380.24,0
1614143542,163,16100,370.51,0
1614143543,163,16319,273.02,0
1614143544,163,16538,267.86,0
1614143545,163,16761,254.35,0
1614143546,163,16973,224.75,0
1614143547,163,17205,235.75,0
1614143548,163,17421,247.82,0
1614143549,163,17622,307.19,0
1614143550,163,17824,287.44,0
1614143551,163,18028,306.90,0
1614143552,163,18233,277.09,0
1614143553,163,18419,332.72,0
1614143554,163,18628,258.35,0
1614143555,163,18872,248.71,0
1614143556,163,19087,253.85,0
1614143557,163,19298,284.92,0
1614143558,163,19493,297.31,0
1614143559,163,19717,224.69,0
1614143560,163,19928,286.89,0
1614143561,163,20135,268.81,0
1614143562,163,20323,320.92,0
1614143563,163,20493,397.65,0
1614143564,163,20691,385.11,0
1614143565,244,20859,390.19,0
1614143566,244,21045,652.91,0
1614143567,244,21280,699.93,0
1614143568,244,21485,575.69,0
1614143569,244,21728,551.92,0
1614143570,244,21963,552.39,0
1614143571,244,22179,589.22,0
1614143572,244,22441,515.14,0
1614143573,244,22653,556.62,0
1614143574,244,22856,579.85,0
1614143575,244,23083,667.08,0
1614143576,244,23283,564.15,0
1614143577,244,23505,690.40,0
1614143578,244,23683,775.62,0
1614143579,244,23876,787.30,0
1614143580,244,24041,850.33,0
1614143581,244,24291,724.35,0
1614143582,244,24516,552.92,0
1614143583,244,24763,574.17,0
1614143584,244,24968,524.45,0
1614143585,244,25211,562.95,0
1614143586,244,25432,552.27,0
1614143587,244,25678,497.14,0
1614143588,244,25928,504.08,0
1614143589,244,26129,638.05,0
1614143590,244,26346,527.86,0
1614143591,244,26587,459.76,0
1614143592,244,26789,421.21,0
1614143593,244,27038,921.20,0
1614143594,244,27189,675.83,0
1614143595,366,27394,890.45,0
1614143596,366,27514,828.60,0
1614143597,366,27833,1279.33,0
1614143598,366,28043,1045.19,0
1614143599,366,28224,1091.37,0
1614143600,366,28492,1094.99,0
1614143601,366,28728,993.96,0
1614143602,366,28968,1126.29,0
1614143603,366,29204,1068.37,0
1614143604,366,29435,1052.16,0
1614143605,366,29646,1033.45,0
1614143606,366,29896,1148.88,0
1614143607,366,30076,1127.38,0
1614143608,366,30296,1176.25,0
1614143609,366,30480,1214.62,0
1614143610,366,30737,1261.54,0
1614143611,366,30909,1251.73,0
1614143612,366,31149,1476.83,0
1614143613,366,31339,1120.77,0
1614143614,366,31594,1117.57,0
1614143615,366,31813,1054.31,0
1614143616,366,32088,1028.82,0
