Seconds,Workers,Queries,Latency,Errors
1614140924,10,20,104.10,0
1614140925,10,40,103.25,0
1614140926,10,50,102.90,0
1614140927,10,70,104.65,0
1614140928,10,90,103.55,0
1614140929,10,100,102.80,0
1614140930,10,120,102.30,0
1614140931,10,140,102.60,0
1614140932,10,150,105.40,0
1614140933,10,170,103.10,0
1614140934,10,188,102.50,0
1614140935,10,200,100.60,0
1614140936,10,220,103.90,0
1614140937,10,237,101.53,0
1614140938,10,250,102.60,0
1614140939,10,270,102.20,0
1614140940,10,284,102.00,0
1614140941,10,300,104.64,0
1614140942,10,320,103.05,0
1614140943,10,334,102.29,0
1614140944,10,350,101.58,0
1614140945,10,370,102.80,0
1614140946,10,381,102.36,0
1614140947,10,400,104.50,0
1614140948,10,420,102.90,0
1614140949,10,430,106.40,0
1614140950,10,450,103.50,0
1614140951,10,470,102.25,0
1614140952,10,480,101.60,0
1614140953,15,500,100.94,0
1614140954,15,530,102.17,0
1614140955,15,550,104.75,0
1614140956,15,575,103.38,0
1614140957,15,605,102.87,0
1614140958,15,625,104.00,0
1614140959,15,650,103.92,0
1614140960,15,680,102.17,0
1614140961,15,700,101.75,0
1614140962,15,725,101.40,0
1614140963,15,754,102.48,0
1614140964,15,775,102.55,0
1614140965,15,800,101.16,0
1614140966,15,829,102.24,0
1614140967,15,850,101.55,0
1614140968,15,875,103.20,0
1614140969,15,904,101.86,0
1614140970,15,924,100.89,0
1614140971,15,950,101.44,0
1614140972,15,978,103.21,0
1614140973,15,998,103.74,0
1614140974,15,1025,101.72,0
1614140975,15,1052,101.04,0
1614140976,15,1072,102.06,0
1614140977,15,1100,101.52,0
1614140978,15,1126,102.46,0
1614140979,15,1147,100.75,0
1614140980,15,1175,102.92,0
1614140981,15,1199,102.33,0
1614140982,15,1222,102.60,0
1614140983,22,1250,103.04,0
1614140984,22,1287,102.27,0
1614140985,22,1325,102.51,0
1614140986,22,1360,104.00,0
1614140987,22,1395,102.49,0
1614140988,22,1433,103.28,0
1614140989,22,1470,102.29,0
1614140990,22,1505,103.31,0
1614140991,22,1543,102.86,0
1614140992,22,1580,103.73,0
1614140993,22,1614,101.12,0
1614140994,22,1653,103.84,0
1614140995,22,1690,103.19,0
1614140996,22,1724,102.47,0
1614140997,22,1763,103.21,0
1614140998,22,1800,103.41,0
1614140999,22,1834,102.47,0
1614141000,22,1871,102.30,0
1614141001,22,1909,103.22,0
1614141002,22,1944,102.35,0
1614141003,22,1980,102.78,0
1614141004,22,2018,101.86,0
1614141005,22,2054,103.38,0
1614141006,22,2089,102.37,0
1614141007,22,2128,103.08,0
1614141008,22,2162,104.09,0
1614141009,22,2198,103.24,0
1614141010,22,2238,104.51,0
1614141011,22,2271,101.88,0
1614141012,22,2307,103.14,0
1614141013,33,2346,103.32,0
1614141014,33,2403,102.56,0
1614141015,33,2460,102.86,0
1614141016,33,2509,102.85,0
1614141017,33,2568,102.31,0
1614141018,33,2625,102.49,0
1614141019,33,2672,102.33,0
1614141020,33,2733,103.08,0
1614141021,33,2790,102.81,0
1614141022,33,2836,102.57,0
1614141023,33,2897,103.15,0
1614141024,33,2955,102.93,0
1614141025,33,3001,102.70,0
1614141026,33,3061,103.35,0
1614141027,33,3120,102.84,0
1614141028,33,3166,103.33,0
1614141029,33,3226,103.68,0
1614141030,33,3284,103.22,0
1614141031,33,3330,102.93,0
1614141032,33,3389,102.32,0
1614141033,33,3447,102.68,0
1614141034,33,3495,102.63,0
1614141035,33,3553,101.98,0
1614141036,33,3609,102.96,0
1614141037,33,3660,103.69,0
1614141038,33,3718,102.19,0
1614141039,33,3772,102.44,0
1614141040,33,3823,103.50,0
1614141041,33,3883,103.03,0
1614141042,33,3935,102.88,0
1614141043,49,3987,102.33,0
1614141044,49,4079,103.07,0
1614141045,49,4162,102.63,0
1614141046,49,4232,102.30,0
1614141047,49,4323,102.89,0
1614141048,49,4402,102.81,0
1614141049,49,4477,102.81,0
1614141050,49,4568,102.90,0
1614141051,49,4647,102.92,0
1614141052,49,4722,103.15,0
1614141053,49,4812,102.49,0
1614141054,49,4892,102.90,0
1614141055,49,4966,103.06,0
1614141056,49,5056,102.15,0
1614141057,49,5135,102.06,0
1614141058,49,5209,102.36,0
1614141059,49,5301,102.28,0
1614141060,49,5379,103.35,0
1614141061,49,5453,103.96,0
1614141062,49,5546,102.08,0
1614141063,49,5623,102.29,0
1614141064,49,5698,102.60,0
1614141065,49,5791,102.91,0
1614141066,49,5865,103.15,0
1614141067,49,5942,103.70,0
