# benchmark_updates -numRows=2000000 -pirType=DPF
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
              0                  7732               1086680              10247167              0                 51484                   317           1522
           1000                    21                 34376                  5593              0                 49792                   220           1522
           2000                    29                160934                  5591              0                 49869                   179           1522
           3000                    38                 32899                  5594              0                 49304                   168           1522
           4000                    31                 36063                  5593              0                 49646                   219           1522
           5000                    22                199458                  5588              0                 49617                   176           1522
           6000                    20                 32271                  5589              0                 49269                   310           1522
           7000                    22                 32239                  5591              0                 49330                   215           1522
           8000                    38                345004                  5593              0                 50005                   224           1522
           9000                    20                 32602                  5591              0                 49703                   146           1522
          10000                    22                 32584                  5593              0                 49826                   163           1522
          11000                    21                 52063                  5592              0                 50386                   190           1522
          12000                    22                 34015                  5591              0                 50430                   178           1522
          13000                    21                 33323                  5589              0                 50470                   210           1522
          14000                    22                 48773                  5591              0                 50197                   194           1522
          15000                    21                 34714                  5590              0                 49958                   180           1522
          16000                    22                 33384                  5592              0                 49828                   165           1522
          17000                    22                 35948                  5594              0                 50170                   169           1522
          18000                    27                327578                  5593              0                 50151                   169           1522
          19000                    20                 33268                  5592              0                 50530                   165           1522
          20000                    21                 33615                  5593              0                 49518                   166           1522
          21000                    22                 48649                  5590              0                 49483                   184           1522
          22000                    20                 34881                  5592              0                 50296                   165           1522
          23000                    21                 32327                  5594              0                 49730                   166           1522
          24000                    20                 54507                  5591              0                 49699                   180           1522
          25000                    20                 33384                  5591              0                 50011                   160           1522
          26000                    19                 34384                  5593              0                 51059                   177           1522
          27000                    23                 33238                  5590              0                 81891                   267           1522
          28000                    22                 32997                  5594              0                 50372                   167           1522
          29000                    21                 33388                  5590              0                 50124                   162           1522
          30000                    22                 49761                  5591              0                 50205                   180           1522
          31000                    22                 33007                  5590              0                 49990                   158           1522
          32000                    21                 33327                  5593              0                 49650                   163           1522
          33000                    20                 33747                  5593              0                 49874                   175           1522
          34000                    25                179951                  5594              0                 50903                   178           1522
          35000                    20                 34041                  5593              0                 50930                   171           1522
          36000                    20                 33349                  5594              0                 49410                   150           1522
          37000                    28                287787                  5593              0                 49552                   169           1522
          38000                    21                 33470                  5591              0                 50457                   163           1522
          39000                    20                 33645                  5593              0                 49970                   174           1522
          40000                    20                 69123                  5593              0                 50524                   223           1522
          41000                    21                 33049                  5590              0                 50008                   155           1522
          42000                    22                 32787                  5591              0                 50100                   164           1522
          43000                    21                 33777                  5593              0                 85053                   264           1522
          44000                    28                 33241                  5590              0                 50173                   176           1522
          45000                    21                 33055                  5594              0                 49890                   164           1522
          46000                    23                 33409                  5594              0                 50971                   201           1522
          47000                    21                 33766                  5594              0                 49716                   155           1522
          48000                    22                 34391                  5593              0                 50967                   159           1522
          49000                    22                 32761                  5592              0                 50898                   192           1522
          50000                    21                 33750                  5593              0                 50096                   163           1522
          51000                    21                 35094                  5591              0                 50654                   160           1522
          52000                    29                 33606                  5594              0                 49773                   198           1522
          53000                    21                 33026                  5594              0                 49673                   172           1522
          54000                    21                 32599                  5593              0                 50090                   191           1522
          55000                    23                 35252                  5586              0                 96450                   272           1522
          56000                    21                 34094                  5591              0                 50845                   174           1522
          57000                    22                 34088                  5595              0                 50338                   181           1522
          58000                    23                 33401                  5590              0                 50028                   161           1522
          59000                    20                 33772                  5592              0                 49978                   164           1522
          60000                    23                 34153                  5592              0                 50976                   183           1522
          61000                    27                 33902                  5595              0                 50356                   164           1522
          62000                    21                 33496                  5590              0                 51124                   202           1522
          63000                    22                 35153                  5590              0                 50614                   177           1522
          64000                    26                 54466                  5593              0                 50148                   196           1522
          65000                    20                 34240                  5594              0                 50298                   173           1522
          66000                    28                 34077                  5595              0                 50392                   164           1522
          67000                    23                 50815                  5590              0                 50903                   185           1522
          68000                    20                 33944                  5593              0                 50397                   161           1522
          69000                    20                 32562                  5593              0                 52354                   158           1522
          70000                    20                 34475                  5593              0                 50347                   218           1522
          71000                    20                 33807                  5593              0                 50458                   161           1522
          72000                    21                 34193                  5593              0                 50157                   162           1522
          73000                    23                 51679                  5593              0                 51038                   265           1522
          74000                    21                 34593                  5593              0                 50417                   177           1522
          75000                    22                 34772                  5593              0                 50275                   203           1522
          76000                    22                 33936                  5592              0                 50902                   163           1522
          77000                    23                258527                  5595              0                 50556                   169           1522
          78000                    32                 33850                  5595              0                 50776                   149           1522
          79000                    20                 33595                  5592              0                 50836                   155           1522
          80000                    23                 35788                  5594              0                 81317                   253           1522
          81000                    21                 34404                  5591              0                 50844                   163           1522
          82000                    21                 34236                  5592              0                 50829                   164           1522
          83000                    23                 35414                  5592              0                 51390                   175           1522
          84000                    20                 34424                  5593              0                 50356                   165           1522
          85000                    23                 33752                  5593              0                 50625                   163           1522
          86000                    20                 50803                  5594              0                 51138                   193           1522
          87000                    22                 33753                  5592              0                 50550                   165           1522
          88000                    21                 35761                  5591              0                 50256                   161           1522
          89000                    23                 34367                  5592              0                 50334                   157           1522
          90000                    22                 34347                  5589              0                 50896                   165           1522
          91000                    22                 34468                  5594              0                 51618                   166           1522
          92000                    24                 34670                  5590              0                 51401                   161           1522
          93000                    20                 34446                  5590              0                 51504                   161           1522
          94000                    28                 36346                  5589              0                 51020                   158           1522
          95000                    20                 55983                  5596              0                 50691                   193           1522
          96000                    20                 33519                  5593              0                 50257                   159           1522
          97000                    21                 33625                  5593              0                 50246                   164           1522
          98000                    23                 52242                  5591              0                 82511                   298           1522
          99000                    22                 34138                  5591              0                 51034                   185           1522
         100000                    22                 33683                  5594              0                 50441                   213           1522
         101000                    21                 34664                  5593              0                 50964                   198           1522
         102000                    24                 34061                  5592              0                 50634                   172           1522
         103000                    21                 34453                  5591              0                 50786                   158           1522
         104000                    22                 34802                  5594              0                 50903                   169           1522
         105000                    22                 34724                  5591              0                 51872                   173           1522
         106000                    22                 35399                  5592              0                 50768                   166           1522
         107000                    22                 39223                  5593              0                 50919                   195           1522
         108000                    20                 34159                  5594              0                 50644                   159           1522
         109000                    21                 34285                  5589              0                 50804                   166           1522
         110000                    23                 35885                  5594              0                 54670                   233           1522
         111000                    21                 35064                  5593              0                 51117                   157           1522
         112000                    25                 34582                  5593              0                 52705                   185           1522
         113000                    18                 51053                  5592              0                 50962                   184           1522
         114000                    20                 33943                  5596              0                 50553                   155           1522
         115000                    20                 34116                  5592              0                 50459                   155           1522
         116000                    21                 51306                  5592              0                 51082                   174           1522
         117000                    21                 34354                  5590              0                 51236                   176           1522
         118000                    20                 34894                  5594              0                 51021                   162           1522
         119000                    23                 35837                  5594              0                 74204                   254           1522
         120000                    21                 35200                  5590              0                 50882                   165           1522
         121000                    26                 35040                  5592              0                 52469                   178           1522
         122000                    19                 37842                  5593              0                 51147                   192           1522
         123000                    29                198364                  5589              0                 51071                   176           1522
         124000                    20                 34635                  5596              0                 50601                   144           1522
         125000                    20                 34023                  5590              0                 50612                   187           1522
         126000                    22                 34725                  5592              0                 51440                   167           1522
         127000                    20                 34882                  5592              0                 51739                   167           1522
         128000                    21                 34776                  5592              0                 51126                   159           1522
         129000                    29                 53280                  5593              0                 50786                   223           1522
         130000                    21                 34543                  5595              0                 51140                   166           1522
         131000                    23                 35673                  5590              0                 50866                   165           1522
         132000                    23                195032                  5593              0                 51213                   161           1522
         133000                    26                 34890                  5593              0                 51397                   162           1522
         134000                    34                 34856                  5588              0                 50852                   164           1522
         135000                    21                 52916                  5594              0                 52936                   180           1522
         136000                    20                 35279                  5590              0                 51247                   171           1522
         137000                    22                 35718                  5592              0                 51753                   173           1522
         138000                    29                282656                  5594              0                 52146                   173           1522
         139000                    21                 34917                  5593              0                 51978                   164           1522
         140000                    23                 35063                  5593              0                 51382                   175           1522
         141000                    18                 73900                  5594              0                 51571                   182           1522
         142000                    22                 34660                  5593              0                 53157                   159           1522
         143000                    21                 35196                  5592              0                 51254                   162           1522
         144000                    21                 53434                  5596              0                 51213                   179           1522
         145000                    21                 34756                  5594              0                 50859                   174           1522
         146000                    20                 35406                  5589              0                 51170                   165           1522
         147000                    23                 34870                  5592              0                 51726                   166           1522
         148000                    29                297166                  5593              0                 51559                   181           1522
         149000                    25                 35761                  5594              0                 52431                   156           1522
         150000                    21                 35352                  5591              0                 51642                   167           1522
         151000                    23                 52217                  5591              0                 51455                   177           1522
         152000                    21                 34717                  5592              0                 51925                   168           1522
         153000                    23                 35631                  5591              0                 51978                   181           1522
         154000                    20                 35707                  5593              0                 72941                   301           1522
         155000                    20                 35234                  5596              0                 50835                   153           1522
         156000                    21                 35109                  5593              0                 51202                   158           1522
         157000                    34                 35335                  5593              0                 84538                   302           1522
         158000                    22                 34927                  5590              0                 51244                   161           1522
         159000                    21                 35451                  5594              0                 51334                   152           1522
         160000                    23                 36075                  5593              0                 52057                   172           1522
         161000                    21                 35977                  5590              0                 53898                   191           1522
         162000                    20                 35898                  5591              0                 52076                   160           1522
         163000                    23                 36109                  5591              0                 57181                   253           1522
         164000                    20                 36003                  5591              0                 51487                   188           1522
         165000                    22                 35366                  5594              0                 52029                   163           1522
         166000                    20                 37141                  5592              0                 52794                   168           1522
         167000                    32                 35264                  5594              0                 53453                   169           1522
         168000                    20                 35551                  5592              0                 52099                   196           1522
         169000                    20                 53520                  5595              0                 52023                   182           1522
         170000                    20                 35340                  5590              0                 51498                   165           1522
         171000                    20                 35290                  5590              0                 51283                   162           1522
         172000                    25                256590                  5592              0                 51980                   169           1522
         173000                    21                 35627                  5592              0                 51373                   161           1522
         174000                    22                 35612                  5592              0                 51621                   167           1522
         175000                    22                 36563                  5592              0                 52557                   164           1522
         176000                    21                 35960                  5590              0                 51990                   168           1522
         177000                    23                 35874                  5590              0                 51958                   155           1522
         178000                    21                 36276                  5590              0                 53140                   180           1522
         179000                    22                 36335                  5593              0                 51797                   148           1522
         180000                    25                 54556                  5593              0                 51844                   195           1522
         181000                    22                 35800                  5593              0                 51475                   171           1522
         182000                    22                 37109                  5590              0                 51483                   164           1522
         183000                    22                336500                  5594              0                 52996                   183           1522
         184000                    22                 36739                  5590              0                 51617                   164           1522
         185000                    24                 36414                  5593              0                 51629                   160           1522
         186000                    19                 55774                  5589              0                 51779                   183           1522
         187000                    21                 35863                  5594              0                 51246                   151           1522
         188000                    21                 35781                  5592              0                 51516                   159           1522
