# benchmark_updates -numRows=2000000 -updateSize=20000 -pirType=Punc
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
              0               5239883               5597496              14451752              0                   151                   363           3777
          20000                   115                 37162                102909              0                   148                   314           4712
          40000                   155                 42509                102916              0                   231                   309           5433
          60000                   164                 42435                102920              0                   234                   310           6039
          80000                   219                173490                102915              0                   309                   335           6573
         100000                    97                 37472                102923              0                   311                   372           7056
         120000                   111                 39748                102899              0                   341                   338           7501
         140000                   112                 39253                102904              0                   750                   361           7912
         160000                   117                 45383                102901              0                   444                   339           8303
         180000                   108                 39510                102904              0                   421                   291           8669
         200000                    97                 44446                102908              0                   467                   329           9016
         220000                    94                 42020                102913              0                   509                   310           9353
         240000                268580                250201               1148681              0                   113                   255           2005
         260000                   100                 46854                102904              0                   486                   473           4281
         280000                   154                 66612                102926              0                   171                   266           5222
         300000                   107                 42338                102917              0                   205                   277           5941
         320000                   109                 43500                102909              0                   263                   276           6551
         340000                   102                 46758                102921              0                   293                   299           7081
         360000                   103                 43818                102910              0                   304                   278           7569
         380000                    96                 91231                102925              0                   347                   313           8011
         400000                    94                 44686                102903              0                   405                   341           8416
         420000                   106                 45972                102929              0                   553                   481           8809
         440000                   100                 44541                102923              0                   446                   338           9175
         460000                    95                 44699                102914              0                   490                   329           9529
         480000                    95                 53241                102927              0                   654                   423           9864
         500000                585850                453383               1583387              0                   102                   242           2004
         520000                    98                 45801                102915              0                   142                   242           4287
         540000                   101                 44607                102917              0                   183                   258           5219
         560000                    97                 45404                102916              0                   208                   259           5942
         580000                   252                 48038                102924              0                   237                   290           6551
         600000                   104                 48168                102914              0                   301                   308           7084
         620000                   109                 49055                102918              0                   318                   289           7565
         640000                   110                 59217                102925              0                   353                   286           8011
         660000                   124                 51738                102912              0                   393                   320           8425
         680000                   111                313897                102903              0                   473                   525           8812
         700000                   100                 48907                102930              0                   493                   276           9179
         720000                   106                 52167                102911              0                   559                   322           9529
         740000                   100                 53064                102922              0                   521                   347           9865
         760000                304887                267987               1148681              0                   126                   272           2517
         780000                    99                 54461                102912              0                   198                   301           4788
         800000                   106                 50883                102922              0                   183                   229           5735
         820000                    98                 50768                102912              0                   218                   286           6447
         840000                   111                 51035                102922              0                   264                   324           7057
         860000                   108                 53439                102940              0                   310                   295           7593
         880000                   102                 51134                102912              0                   490                   921           8077
         900000                   138                 64244                102934              0                   383                   339           8523
         920000                    95                 51944                102912              0                   401                   329           8931
         940000                   100                 51583                102928              0                   444                   321           9325
         960000                    93                 52654                102921              0                   499                   355           9687
         980000                    99                 53648                102918              0                   528                   351          10037
        1000000                    97                105188                102930              0                   542                   328          10372
        1020000               1236209                933041               2197338              0                   115                   219           2038
        1040000                    94                 53500                102926              0                   149                   246           4321
        1060000                    95                 55620                102933              0                   191                   260           5257
        1080000                   100                 53940                102911              0                   216                   221           5968
        1100000                    94                118375                102913              0                   325                   322           6583
        1120000                    95                 55142                102926              0                   299                   289           7115
        1140000                   102                 56200                102918              0                   329                   309           7599
        1160000                    95                 55895                102925              0                   373                   295           8045
        1180000                   109                 67936                102921              0                   417                   324           8455
        1200000                   120                367949                102910              0                   458                   493           8843
        1220000                   102                 56625                102914              0                   454                   318           9211
        1240000                   101                 58170                102909              0                   535                   279           9561
        1260000                   108                 57393                102926              0                   522                   229           9886
        1280000                267696                263127               1148698              0                   166                   258           2551
        1300000                    93                 58091                102912              0                   206                   337           4830
        1320000                   136                 58725                102929              0                   227                   244           5765
        1340000                    92                 59282                102932              0                   239                   241           6487
        1360000                    97                 59810                102922              0                   270                   292           7095
        1380000                   102                 60228                102919              0                   312                   317           7627
        1400000                    99                 60978                102922              0                   343                   335           8113
        1420000                   139                 60188                102920              0                   415                   283           8542
        1440000                    98                 61037                102913              0                   465                   310           8966
        1460000                   106                 61114                102932              0                   493                   329           9354
        1480000                    97                 63984                102925              0                   455                   332           9723
        1500000                    96                 59855                102914              0                   549                 41572          10067
        1520000                   102                158114                102915              0                   565                   358          10405
        1540000                567276                453173               1583378              0                   145                   237           2551
        1560000                   107                 62803                102913              0                   169                   274           4833
        1580000                   113                 64200                102909              0                   199                   287           5765
        1600000                    96                 64199                102925              0                   236                   260           6485
        1620000                    99                 68779                102933              0                   261                   300           7092
        1640000                    92                 63396                102913              0                   314                   324           7625
        1660000                    92                 63320                102899              0                   339                   290           8107
        1680000                   120                 64179                102919              0                   398                   321           8557
        1700000                   100                 64847                102933              0                   433                   322           8967
        1720000                   102                 64879                102930              0                   431                   248           9356
        1740000                   104                125858                102912              0                   472                   368           9723
        1760000                    99                 66699                102932              0                   531                   346          10071
        1780000                    93                 66295                102919              0                   605                   326          10407
        1800000                258012                265767               1148687              0                   161                   265           3059
        1820000                   100                 73875                102916              0                   186                   315           5337
        1840000                    95                 67286                102918              0                   345                   388           6275
        1860000                   140                 81103                102930              0                   444                   364           6999
        1880000                    98                 66536                102925              0                   300                   280           7604
        1900000                   104                 69900                102914              0                   349                   307           8137
        1920000                   102                 69948                102922              0                   380                   302           8615
        1940000                    97                114485                102928              0                   466                   352           9065
        1960000                   109                 70334                102928              0                   472                   357           9481
        1980000                   105                 69709                102941              0                   471                   305           9863
