# benchmark_updates -numRows=3000000 -updateSize=30000 -numUpdates=202 -pirType=Punc
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
              0               8701316              11812585              20561399              0                   147                   348           1586
          30000                   316                105546                154506              0                   180                   433           4403
          60000                   352                421085                154521              0                   435                   632           5551
          90000                   424                256256                154536              0                   347                   460           6435
         120000                   250                 64370                154535              0                   403                   408           7177
         150000                   240                109545                154540              0                   578                   446           7831
         180000                   238                113451                154556              0                   599                   426           8423
         210000                294910                301502               1095656              0                   146                   315           2122
         240000                   224                450749                154544              0                   209                   485           4935
         270000                   259                694532                154568              0                   388                   401           6085
         300000                   227                 51559                154573              0                   355                   534           6963
         330000                   228                 49997                154583              0                   386                   461           7713
         360000                   258                 40644                154541              0                   503                   483           8363
         390000                   233                123560                154585              0                   776                   430           8957
         420000                603508                461131               1486113              0                   212                   504           2121
         450000                   341                611740                154550              0                   228                   392           4937
         480000                   221                 50250                154577              0                   331                   312           6081
         510000                   319                 49203                154590              0                   358                   365           6967
         540000                   338                 49910                154590              0                   421                   368           7713
         570000                   221                 49775                154580              0                   537                   394           8365
         600000                   233                103851                154581              0                   826                   612           8954
         630000                477125                285252               1095677              0                   158                   314           2659
         660000                   210                 51413                154588              0                   221                   326           5471
         690000                   192                 50984                154607              0                   291                   351           6613
         720000                   211                 50667                154619              0                   394                   368           7499
         750000                   234                133009                154598              0                   447                   371           8245
         780000                   228                497393                154597              0                   556                   652           8903
         810000                   231                960134                154575              0                   628                   448           9491
         840000               1229894                812418               2036820              0                   284                   306           2155
         870000                   217                 61839                154561              0                   203                   293           4968
         900000                   209                 61404                154554              0                   309                   349           6117
         930000                   233                 62477                154565              0                   376                   447           7002
         960000                   230                 73002                154555              0                  1091                   596           7742
         990000                   294                253052                154585              0                   552                   404           8399
        1020000                   230                 54193                154584              0                   828                   558           8991
        1050000                288544                263927               1095708              0                   166                   323           2693
        1080000                   209                 56502                154591              0                   233                   346           5507
        1110000                   201                 59199                154599              0                   541                   491           6650
        1140000                   334                 81668                154616              0                   372                   278           7528
        1170000                   207                 56587                154610              0                   509                   451           8279
        1200000                   231                 61642                154637              0                   551                 29355           8933
        1230000                   248                 57278                154610              0                   790                   503           9519
        1260000                594470                633477               1486133              0                   168                   386           2690
        1290000                   222                 61464                154592              0                   284                   309           5504
        1320000                   241                 59535                154619              0                   307                   399           6653
        1350000                   207                 62633                154618              0                   406                   260           7524
        1380000                   224                 81943                154607              0                   485                   436           8279
        1410000                   243                103680                154606              0                   769                   519           8933
        1440000                   274                 64856                154593              0                   641                   448           9521
        1470000                273439                235315               1095731              0                   204                   404           3225
        1500000                   229                 66038                154629              0                   271                   425           6035
        1530000                   222                 62275                154648              0                   336                   416           7183
        1560000                   226                140007                154651              0                   453                   482           8067
        1590000                   243                 71779                154649              0                   553                   440           8813
        1620000                   204                 84536                154659              0                   613                   714           9462
        1650000                   244                 85198                154633              0                   739                   357          10050
        1680000               2619093               2477534               2814742              0                   166                   340           2159
        1710000                   220                 69259                154567              0                   312                   427           4969
        1740000                   347                 90783                154581              0                   339                   498           6119
        1770000                   262                 70145                154569              0                   390                   310           6999
        1800000                   267                 76848                154574              0                   963                   671           7745
        1830000                   202                 82016                154586              0                   599                   516           8399
        1860000                   209                 73254                154567              0                   645                   483           8989
        1890000                287088                257264               1095685              0                   169                   275           2692
        1920000                   226                 74122                154598              0                   317                   466           5503
        1950000                   198                 95171                154613              0                   351                   346           6650
        1980000                   210                202841                154621              0                   418                   354           7532
        2010000                   199                 78714                154612              0                   524                   585           8275
        2040000                   274                 73672                154626              0                   524                   470           8933
        2070000                   260                 87052                154619              0                   628                   443           9526
        2100000                554018                423662               1486150              0                   199                   338           2692
        2130000                   192                 82762                154590              0                   274                   386           5506
        2160000                   212                177199                154612              0                   385                   335           6651
        2190000                   256                 88987                154603              0                   454                   460           7537
        2220000                   253                 72184                154590              0                   536                   481           8277
        2250000                   233                 78121                154609              0                   669                   394           8931
        2280000                   216                 75698                154605              0                   672                   475           9521
        2310000                289467                506812               1095741              0                   396                   291           3224
        2340000                   213                 71789                154625              0                   260                   322           6035
        2370000                   238                 82260                154642              0                   381                   410           7190
        2400000                   250                 89923                154638              0                   440                   406           8069
        2430000                   192                 74806                154659              0                   575                   724           8813
        2460000                   231                 88721                154640              0                   618                   518           9469
        2490000                   249                797317                154638              0                   948                   742          10053
        2520000               1221369                883088               2036857              0                   184                   284           2725
        2550000                   236                 78767                154589              0                   660                   497           5535
        2580000                   189                 76892                154592              0                   385                   330           6683
        2610000                   183                 79211                154617              0                   454                   421           7572
        2640000                   250                177573                154567              0                   837                   996           8313
        2670000                   334                541239                154605              0                   593                   437           8963
        2700000                   205                 78147                154615              0                   716                   369           9559
        2730000                298431                286889               1095729              0                   213                   346           3259
        2760000                   206                 79911                154618              0                   260                   464           6061
        2790000                   215                 81501                154627              0                   358                   335           7219
        2820000                   199                334676                154648              0                   547                   458           8099
        2850000                   236                 81417                154641              0                   540                   439           8841
        2880000                   216                 83908                154638              0                   659                   355           9495
        2910000                   225                 80191                154637              0                   724                   348          10088
        2940000                599492                430189               1486179              0                   339                   408           3260
        2970000                   330                125792                154606              0                   298                   358           6074
        3000000                   247                 81873                154646              0                   468                   368           7219
        3030000                   213                109888                154646              0                   476                   346           8103
        3060000                   226                 84598                154647              0                   616                   426           8843
        3090000                   217                 84505                154651              0                   654                   391           9503
        3120000                   211                 78702                154656              0                   710                   416          10092
        3150000                276118                263803               1095759              0                   257                   260           3788
        3180000                   245                 89312                154675              0                   330                   389           6603
        3210000                   214                 89678                154660              0                   416                   419           7754
        3240000                   417                852173                154661              0                   534                   375           8641
