# benchmark_updates -numRows=2000000 -pirType=Matrix
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
              0                  7838               1097735              10247167              0                  6420                   612          32900
           1000                    20                 35469                  5593              0                  6371                   529          32904
           2000                    38                163296                  5591              0                  6374                   477          32908
           3000                    23                 32122                  5594              0                  6473                   403          32912
           4000                    20                 35457                  5593              0                  6435                   483          32916
           5000                    20                199471                  5588              0                  6450                   448          32920
           6000                    21                 33188                  5589              0                  6513                   451          32924
           7000                    20                 32036                  5591              0                  6695                   508          32928
           8000                    26                166971                  5593              0                  6306                   436          32932
           9000                    21                 32587                  5591              0                  6510                   434          32936
          10000                    21                 32792                  5593              0                  6434                   433          32940
          11000                    21                 53620                  5592              0                  6373                   473          32944
          12000                    21                 33177                  5591              0                  6340                   508          32948
          13000                    20                 32259                  5589              0                  6368                   440          32952
          14000                    20                 47999                  5591              0                  6380                   438          32956
          15000                    22                 33580                  5590              0                  6325                   413          32960
          16000                    26                 32471                  5592              0                  6341                   405          32964
          17000                    21                 34811                  5594              0                  6453                   433          32968
          18000                    20                 33094                  5593              0                  6367                   427          32972
          19000                    20                 32647                  5592              0                  6194                   418          32976
          20000                    22                 33058                  5593              0                  6486                   734          32980
          21000                    21                 33136                  5590              0                  6508                   422          32984
          22000                    20                 33123                  5592              0                  6450                   463          32988
          23000                    21                 48786                  5594              0                  6202                   521          32992
          24000                    21                 33435                  5591              0                  6471                   425          32996
          25000                    19                 32067                  5591              0                  6296                   393          33000
          26000                    17                 35117                  5593              0                  6190                   415          33004
          27000                    20                 32708                  5590              0                  6334                   411          33008
          28000                    20                 33300                  5594              0                  6477                   433          33012
          29000                    21                 50442                  5590              0                  6478                   503          33016
          30000                    22                 33529                  5591              0                  6225                   398          33020
          31000                    19                 32804                  5590              0                  6305                   396          33024
          32000                    20                 32800                  5593              0                  6375                   422          33028
          33000                    21                 32966                  5593              0                  6196                   442          33032
          34000                    19                 32834                  5594              0                  6250                   420          33036
          35000                    21                 32561                  5593              0                  6228                   442          33040
          36000                    21                 33516                  5594              0                  6365                   414          33044
          37000                    19                 33532                  5593              0                  6402                   450          33048
          38000                    24                 34475                  5591              0                  7518                   670          33052
          39000                    20                 32891                  5593              0                  6287                   438          33056
          40000                    20                 33404                  5593              0                  6202                   443          33060
          41000                    21                 68873                  5590              0                  6453                   424          33064
