WeekOf,Malware sites detected,Phishing sites detected,Malware sites number,Phishing sites number,Attack sites,Compromised sites,Browser warnings,Search warnings,Webmaster response time,Reinfection rate
2006-05-21,1,,,,,1,,,0,0
2006-05-28,,,,,,,,,,
2006-06-04,,,,,,,,,,
2006-06-11,,,,,,,,,,
2006-06-18,,,,,,,,,,
2006-06-25,,,,,,,,,,
2006-07-02,,,,,,,,,,
2006-07-09,,,,,,,,,,
2006-07-16,,,,,,,,,,
2006-07-23,,,,,,,,,,
2006-07-30,32,,63,,,32,,,45,
2006-08-06,27,,70,,,27,,,60,
2006-08-13,,,73,,,,,,,
2006-08-20,31,,79,,,31,,,68,0
2006-08-27,25,,88,,,25,,,72,
2006-09-03,49,,110,,,49,,,90,
2006-09-10,,,143,,,,,,,
2006-09-17,,,176,,,,,,,
2006-09-24,37,,204,,,37,,,90,0
2006-10-01,34,,228,,,34,,,90,0
2006-10-08,41,,250,,,41,,,90,0
2006-10-15,46,,266,,,46,,,90,0
2006-10-22,31,,289,,,31,,,90,0
2006-10-29,37,,322,,,37,,,90,0
2006-11-05,50,,365,,,50,,,90,0
2006-11-12,62,,415,,,62,,,90,0
2006-11-19,87,,491,,16,84,,,90,0
2006-11-26,106,,587,,39,90,,,90,2
2006-12-03,100,,681,,,84,,,90,2
2006-12-10,433,,1004,,,418,,,90,7
2006-12-17,405,,1406,,,390,,,90,8
2006-12-24,492,,1849,,,480,,,90,10
2006-12-31,644,,2415,,,644,,,90,10
2007-01-07,831,,3123,,42,822,,,90,10
2007-01-14,573,,3702,,,564,,,90,7
2007-01-21,631,,4258,,,622,,,90,7
2007-01-28,573,,4780,,33,563,,,90,5
2007-02-04,625,,5287,,,615,,,90,4
2007-02-11,919,,6085,,28,916,,,90,5
2007-02-18,2133,,7434,,31,2125,,,90,4
2007-02-25,2585,,9774,,,2577,,,90,3
2007-03-04,4613,,13192,,,4605,,,87,4
2007-03-11,5739,,18166,,26,5724,,,86,5
2007-03-18,5875,,23576,,19,5860,,,86,4
2007-03-25,5297,,28679,,,5287,,,86,6
2007-04-01,6716,,34091,,,6707,,,86,7
2007-04-08,6002,,39596,,,5992,,,89,9
2007-04-15,7253,,45919,,,7251,,,89,9
2007-04-22,8427,,52842,,134,8313,,,89,9
2007-04-29,10068,,61520,,180,9907,,,90,9
2007-05-06,10520,,69447,,241,10293,,,90,8
2007-05-13,10867,,75447,,265,10611,,,90,6
2007-05-20,10119,,78836,,355,9775,,,90,5
2007-05-27,9556,,80560,,285,9281,,,90,5
2007-06-03,10814,,81321,,292,10538,,,90,5
2007-06-10,12107,,84343,,301,11826,,,90,6
2007-06-17,15037,,90714,,336,14724,,,90,7
2007-06-24,16890,,99134,,287,16623,,,90,9
2007-07-01,17656,,106838,,284,17392,,,90,10
2007-07-08,15912,,114710,,278,15662,,,90,11
2007-07-15,14792,,120621,,260,14562,,,90,11
2007-07-22,12786,,125830,,230,12588,,,90,11
2007-07-29,10631,,130177,,218,10445,,,90,10
2007-08-05,11265,,136357,,226,11071,,,90,10
2007-08-12,10947,,142604,,218,10750,,,90,10
2007-08-19,11181,,149304,,212,10983,,,90,9
2007-08-26,11184,,155409,,237,10959,,,90,9
2007-09-02,13525,,162150,,261,13276,,,90,9
2007-09-09,12546,,168232,,250,12307,,,90,7
2007-09-16,15218,,173194,,228,15001,,,90,6
2007-09-23,15404,,177229,,232,15183,,,90,6
2007-09-30,14364,,180524,,210,14162,,,90,5
2007-10-07,11607,,182643,,177,11436,,,90,5
2007-10-14,11528,,184520,,189,11346,,,90,6
2007-10-21,9560,,186995,,240,9335,,,90,7
2007-10-28,7705,,189350,,230,7497,,,90,7
2007-11-04,7321,,191305,,234,7116,,,90,8
2007-11-11,7137,,192815,,241,6931,,,90,8
2007-11-18,6190,3800,194224,206216,225,5997,,,90,9
2007-11-25,4488,4676,194420,205274,173,4340,,,90,9
2007-12-02,7958,11072,195545,206974,206,7774,,,90,9
2007-12-09,8990,11667,197410,209317,192,8814,,,90,9
2007-12-16,10462,11906,199433,210904,216,10301,,,90,9
2007-12-23,11064,12574,201594,213107,225,10895,,,90,8
2007-12-30,11808,12996,203765,215273,237,11627,,,90,7
2008-01-06,10405,11386,205085,216640,206,10252,,,90,6
2008-01-13,13221,13312,207503,218947,233,13042,,,90,6
2008-01-20,12807,12461,211089,197036,225,12593,,,90,6
2008-01-27,14627,11707,215983,156197,221,14418,,,90,7
2008-02-03,21387,10825,224258,115848,226,21175,,,90,8
2008-02-10,21733,8308,234468,75121,216,21532,,,90,9
